공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
라온제이가죽공방 ,0.0,0건,리뷰 0,대구 달서구 달구벌대로323길 23 솔향기 1층상가,(지번) 감삼동 44-15,010-4779-7767,http://blog.naver.com/johyerim-_-,200
팔라스가죽공방 ,0.0,0건,리뷰 0,대구 남구 중앙대로31길 23 1층,(지번) 대명동 181-20,010-4779-7767,http://blog.naver.com/pallas_lh,200
가죽공방헤비츠 ,5.0,1건,리뷰 4,서울 성북구 고려대로7길 46 1층,(지번) 안암동1가 105-5,010-4779-7767,http://www.hevitz.com/,200
포티아 가죽공방 ,5.0,3건,리뷰 0,대구 수성구 동대구로80길 50,(지번) 범어동 53-24,010-4779-7767,http://blog.naver.com/epunji,200
가죽공방 수미워크룸 ,0.0,0건,리뷰 0,대구 중구 경상감영길 229 2층,(지번) 동문동 4-9,010-4779-7767,http://www.instagram.com/oh_sumi,접속불가
구름가죽공방 ,0.0,0건,리뷰 0,대구 남구 중앙대로30길 75-1,(지번) 봉덕동 572-21,070-8840-2340,,
소메드가죽공방 ,0.0,0건,리뷰 1,부산 부산진구 전포대로255번길 41 전포상가 라동 111호,(지번) 전포동 654-1,010-8250-8817,http://blog.naver.com/somadleather,200
가죽공방9525 ,0.0,0건,리뷰 4,대구 수성구 무학로11길 17,(지번) 상동 410-9,010-8250-8817,https://blog.naver.com/cuoio9525/,200
가죽공방땀 ,0.0,0건,리뷰 0,대구 수성구 무학로37길 47,(지번) 지산동 1023-4,연락처 없음,,
수수한 가죽공방 ,0.0,0건,리뷰 0,대구 북구 구암로21길 6 상가동 3층 303호,(지번) 읍내동 1366-3,연락처 없음,,
제이레더가죽공방 ,0.0,0건,리뷰 0,대구 북구 대천로18길 2 서인빌딩 3층,(지번) 동천동 933-3,연락처 없음,http://jleathercraft.kr/,200
마이레더가죽공방 ,3.0,2건,리뷰 0,부산 동구 수정동로13번길 2,(지번) 수정동 802-16,연락처 없음,http://www.myleather.co.kr/,200
레더펀가죽공예공방 ,0.0,0건,리뷰 0,세종특별자치시 한누리대로 245 SR파크원 512호,(지번) 나성동 747,044-864-5158,http://blog.naver.com/2navel,200
꽃비가죽공방 ,0.0,0건,리뷰 0,대구 수성구 고산로4길 92-3,(지번) 신매동 603-2,044-864-5158,,
씨밀레가죽공방 ,5.0,1건,리뷰 0,경남 양산시 물금읍 오봉로 61 1층,(지번) 물금읍 범어리 537-6,연락처 없음,,
캐서린가죽공방 ,0.0,0건,리뷰 0,대구 동구 팔공로51길 21 B-16호,(지번) 봉무동 1542-2,연락처 없음,https://blog.naver.com/hlove517/,200
바비가죽공방 ,5.0,1건,리뷰 12,서울 은평구 연서로 98-1 경동빌딩 2층,(지번) 역촌동 8-38,연락처 없음,http://blog.naver.com/ahhyeon_sea,200
지클레어가죽공방 ,0.0,0건,리뷰 1,부산 수영구 남천동로24번길 19 2층,(지번) 남천동 170-1,연락처 없음,http://www.gclare.com/,200
가죽공방 ,0.0,0건,리뷰 0,경기 안양시 만안구 삼덕로 97,(지번) 안양동 714-3,연락처 없음,,
길가죽공방 ,0.0,0건,리뷰 1,대전 유성구 계룡로59번길 8 201호,(지번) 봉명동 444-16,010-5542-1002,https://blog.naver.com/sayjee1,200
메디치가죽공방 ,5.0,1건,리뷰 92,서울 성동구 성수일로 10 서울숲ITCT 303호,(지번) 성수동1가 72-8,02-6362-0117,http://blog.naver.com/scuola_medici,200
통파치가죽공방 ,0.0,0건,리뷰 0,대구 북구 태전로 3,(지번) 태전동 206-2,연락처 없음,,
베르데가죽공방 ,0.0,0건,리뷰 14,부산 동래구 아시아드대로181번길 32 1층,(지번) 사직동 22-42,연락처 없음,https://blog.naver.com/kbobee,200
카프가죽공방 ,0.0,0건,리뷰 8,부산 부산진구 중앙대로 954-1 4층,(지번) 양정동 272-8,051-804-6722,http://blog.naver.com/calf6700,200
구스토피엘 가죽공방 ,0.0,0건,리뷰 0,부산 기장군 정관읍 정관덕산길 80 파스텔라 타운하우스 상가 1호,(지번) 정관읍 방곡리 437,연락처 없음,https://blog.naver.com/raesong86,200
가죽공방 루니에 ,0.0,0건,리뷰 16,서울 성동구 성수이로7가길 21-17,(지번) 성수동2가 321-93,연락처 없음,http://blog.naver.com/purinane,200
레브가죽공방 ,0.0,0건,리뷰 0,경북 구미시 신비로 39 e편한세상 구미파크벨리 상가동 112호,(지번) 공단동 601,010-4496-8808,http://blog.naver.com/qwert2qwe,200
일로가죽공방 ,0.0,0건,리뷰 4,부산 동구 망양로 891 3층,(지번) 범일동 1445-46,연락처 없음,https://blog.naver.com/leaf130117/,200
레브가죽공방 ,0.0,0건,리뷰 0,경북 포항시 남구 효성로93번길 30-8,(지번) 효자동 581-11,연락처 없음,,
팜트리가죽공방 ,0.0,0건,리뷰 0,전북 전주시 덕진구 심방죽로 49,(지번) 인후동2가 8-4,연락처 없음,https://www.instagram.com/jinhee_palm,접속불가
벨루스가죽공방 ,5.0,1건,리뷰 0,경기 광주시 중앙로 130-34,(지번) 경안동 60-3,031-761-7688,,
세르미오 가죽공방 ,0.0,0건,리뷰 1,광주 서구 내방로 54 현대아파트상가동 2층,(지번) 치평동 1166-1,062-375-3422,http://blog.naver.com/sermio17,200
아틀리에 후 가죽공방 ,0.0,0건,리뷰 0,서울 용산구 후암로 67-2,(지번) 후암동 93,연락처 없음,,
