공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
존아저씨금속공예공방 ,0.0,0건,리뷰 0,서울 강동구 상암로 198 305호,(지번) 명일동 346-5,070-8737-0952,http://john316studio.com/,200
준에이치 금속공예공방 ,0.0,1건,리뷰 0,서울 서대문구 연희맛로 17-18 1층,(지번) 연희동 130-13,070-7504-0773,https://junh.kr/,200
타니스튜디오 금속공예공방 ,0.0,0건,리뷰 0,서울 강남구 도산대로 446,(지번) 청담동 5,010-7773-4997,http://blog.naver.com/aqua0531,200
해피핑거스 금속공예공방 ,0.0,0건,리뷰 0,서울 관악구 조원로2길 48 대광빌딩 2층,(지번) 신림동 1655-43,010-2346-0390,http://happyfingers.co.kr/,200
AUAG금속공예 ,0.0,0건,리뷰 1,서울 서대문구 성산로11길 9-4,(지번) 연희동 436-2,0507-1317-6298,https://auagedu.modoo.at/,200
이상원미술관금속공방 ,0.0,0건,리뷰 1,강원 춘천시 사북면 화악지암길 99,(지번) 사북면 지암리 587,070-4223-9638,http://www.lswmuseum.com/,200
호랑금속공예 ,0.0,0건,리뷰 0,서울 강북구 오패산로 390,(지번) 번동 414-25,010-3905-9679,https://smartstore.naver.com/orcafosa,200
사단법인 행복투게더(금속공예사업부),0.0,0건,리뷰 0,경기 여주시 대신면 여양로 664,(지번) 대신면 천남리 73-1,031-881-5644,,
1031금속공예작업실 ,0.0,0건,리뷰 0,서울 노원구 화랑로51길 17,(지번) 공릉동 111,0507-1303-4149,https://1031studio.com/,200
모루금속공예작업실 ,0.0,0건,리뷰 0,서울 노원구 동일로186길 53-5 103호,(지번) 공릉동 502-31,02-932-2923,https://blog.naver.com/moru925,200
정(JEONG) 금속공예 스튜디오 ,0.0,0건,리뷰 0,전북 전주시 완산구 향교길 27,(지번) 교동 243,063-284-1343,,
금속 공예갤러리오 ,0.0,0건,리뷰 0,서울 강남구 압구정로29길 72-1,(지번) 압구정동 454,02-511-0858,,
행복투게더금속공예사업부 ,0.0,0건,리뷰 0,경기 여주시 대신면 대신로 635-9,(지번) 대신면 장풍리 73-1,031-881-5644,,
모랑공방 ,0.0,0건,리뷰 2,경기 성남시 분당구 백현로156번길 7-10 1층 102호,(지번) 정자동 49-5,031-881-5644,,
쇠노리공방 ,0.0,0건,리뷰 1,경북 안동시 임하면 금소4길 23-4,(지번) 임하면 금소리 509-76,연락처 없음,,
메탈리코 ,5.0,1건,리뷰 13,제주특별자치도 제주시 애월읍 유수암평화5길 24-7,(지번) 애월읍 유수암리 1031-20,연락처 없음,http://metalicogallery.com/home,접속불가
노말도트 ,0.0,0건,리뷰 1,부산 부산진구 동성로25번길 32 1층,(지번) 전포동 355-26,070-4406-0327,http://www.normaldott.kr/,200
드리 ,0.0,0건,리뷰 2,서울 광진구 능동로30길 3,(지번) 능동 225-15,070-5025-1004,,
무드라르고 ,0.0,0건,리뷰 5,서울 마포구 와우산로29길 26-33 지하1층,(지번) 서교동 328-74,연락처 없음,https://blog.naver.com/dlforud33,200
오늘봄 ,0.0,0건,리뷰 1,경남 진주시 창렬로 85-1,(지번) 상봉동 1106-23,010-2073-3626,,
JD라스 ,0.0,0건,리뷰 1,서울 관악구 봉천로 465 4층,(지번) 봉천동 871-65,연락처 없음,https://www.instagram.com/JD_las/,접속불가
힐링필링 ,5.0,3건,리뷰 2,서울 마포구 연남로3길 13 1층 2호,(지번) 연남동 566-38,연락처 없음,http://blog.naver.com/hfling,200
지앤주얼리스튜디오 ,0.0,0건,리뷰 4,경기 동두천시 중앙로353번길 24,(지번) 생연동 541-10,070-8887-1918,http://blog.naver.com/zeeandstudio,200
세번째공간 ,0.0,0건,리뷰 0,경기 이천시 백사면 이여로 506,(지번) 백사면 송말리 93-14,031-632-5021,http://sssart.net/,200
재쥬 ,0.0,0건,리뷰 2,경기 용인시 수지구 문인로31번길 3-2,(지번) 풍덕천동 670,010-8230-2247,https://jaejew.modoo.at/,접속불가
실버키트하우스 ,0.0,0건,리뷰 1,서울 용산구 신흥로36길 6,(지번) 용산동2가 1-1135,010-6376-3413,https://www.instagram.com/silver_kit_house/,접속불가
얼스랩아틀리에 ,0.0,0건,리뷰 1,서울 강동구 올림픽로91길 30 상가 220호,(지번) 암사동 675,연락처 없음,https://www.instagram.com/earth_lab_atelier/,접속불가
