공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
해밀공작소 ,5.0,1건,리뷰 0,대구 달서구 조암남로20길 60,(지번) 월성동 1539-2,053-952-7743,,
꾸미네작업실 ,0.0,0건,리뷰 0,"대구 달서구 성서로35길 3 1층,4층",(지번) 월암동 1-115,053-246-4587,http://milk0011.blog.me/,200
목공방우드끌로 ,0.0,0건,리뷰 6,대구 달서구 월배로14길 53 1층,(지번) 진천동 471-19,연락처 없음,http://blog.naver.com/woodclo0202,200
끌과망치이야기 ,0.0,0건,리뷰 2,대구 달서구 상화북로 16,(지번) 진천동 290-2,연락처 없음,http://www.gglmang.co.kr/,200
나무샵 ,0.0,0건,리뷰 0,대구 달서구 용산큰못2길 21,(지번) 용산동 921-14,연락처 없음,,
헤펠레목공방 대구수목원점 ,5.0,1건,리뷰 0,대구 달서구 화암로 327 엘리트빌딩 101호,(지번) 대곡동 1038-2,연락처 없음,http://blog.naver.com/kobo7203,200
든결목공방 ,0.0,0건,리뷰 9,대구 서구 서대구로62길 85-1,(지번) 비산동 1223-1,연락처 없음,http://blog.naver.com/jung601124,200
키큰나무공방 ,5.0,1건,리뷰 0,대구 북구 학정동로 69,(지번) 학정동 948-5,010-5453-0052,http://blog.naver.com/kikennamu2,200
풍각나무망치 ,0.0,0건,리뷰 15,경북 청도군 풍각면 청려로 170-111,(지번) 풍각면 금곡리 927,054-373-8525,http://blog.naver.com/mangchi7304,200
나무느낌표 ,0.0,0건,리뷰 10,대구 중구 봉산문화1길 30 2층,(지번) 봉산동 172-21,연락처 없음,https://blog.naver.com/kmj9618007/,200
나무작업실 ,0.0,0건,리뷰 0,부산 연제구 거제대로 94 대진빌딩,(지번) 거제동 721-3,051-867-1307,http://cafe.naver.com/nazak,200
303 하남가구단지(골드무역) ,0.0,0건,리뷰 0,경기 하남시 하남대로 514,(지번) 천현동 538-1,031-794-5667,,
터치우드 ,0.0,0건,리뷰 0,대구 수성구 화랑로 102 3층,(지번) 만촌동 1328-13,010-9869-3366,https://blog.naver.com/yuesee,200
