공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
박씨상방 전통공예,3.7,3건,리뷰 10,경기 김포시 고촌읍 아라육로57번길 97,(지번) 고촌읍 전호리 733,031-8049-3263,http://www.koreasang.co.kr/,200
통영전통공예관 전통공예,0.0,0건,리뷰 4,경남 통영시 도남로 281,(지번) 도남동 642,055-645-3266,http://www.craft12.co.kr/,200
우리미 전통공예,5.0,1건,리뷰 14,서울 종로구 인사동10길 12 1층,(지번) 관훈동 30-7,02-722-3743,http://www.woorimi.kr/,접속불가
청살림 전통공예,0.0,0건,리뷰 5,경기 가평군 설악면 미사리로 49,(지번) 설악면 선촌리 126-11,031-585-3768,https://blog.naver.com/csbsjs,200
전통공예세아니 전통공예,0.0,0건,리뷰 0,경남 사천시 한내로 35-1,(지번) 선구동 284-44,031-585-3768,http://seani.co.kr/,200
한지갤러리 전통공예문화협회 평택지회,5.0,1건,리뷰 0,경기 평택시 비전로38번길 18,(지번) 비전동 730-1,연락처 없음,,
무주 전통공예테마파크 테마파크,0.0,0건,리뷰 1,전북 무주군 무주읍 당산리 1160-1,,연락처 없음,,
전통공예 중고용품,0.0,0건,리뷰 0,대구 남구 대명남로 105-1,(지번) 대명동 939-14,053-629-1774,,
광주 전통공예문화학교 문화센터,0.0,0건,리뷰 0,광주 북구 하서로 818,(지번) 용전동 440-4,연락처 없음,,
이목전통칠기공예연구소 가구,0.0,0건,리뷰 0,경북 성주군 대가면 참별로 2331-16,(지번) 대가면 옥성리 693,054-932-8014,,
배다리전통공예거리 테마거리,0.0,0건,리뷰 2,인천 동구 송림로 지하 4,(지번) 금곡동 10-1,연락처 없음,,
반딧골전통공예문화촌 도시근린공원,0.0,0건,리뷰 0,전북 무주군 무주읍 최북로 15,(지번) 무주읍 당산리 1178,연락처 없음,,
북촌전통공예체험관 문화시설,5.0,1건,리뷰 1,서울 종로구 북촌로12길 24-5,(지번) 가회동 11-91,02-741-2148,,
남원전통공예 ,0.0,0건,리뷰 0,전북 남원시 검멀길 15,(지번) 금동 143,연락처 없음,,
전통공예연구소 ,0.0,0건,리뷰 0,강원 원주시 이화3길 9,(지번) 단계동 942-3,033-742-5992,,
전통공예문화협회 한국창작종이문화원,0.0,0건,리뷰 0,경남 밀양시 부북면 점필재로 159-10,(지번) 부북면 제대리 131-2,055-351-4540,,
한국 전통공예건축학교 학원,0.0,0건,리뷰 0,서울 강남구 테헤란로92길 12-9,(지번) 대치동 944-22,02-3011-1702,https://www.kous.or.kr/C00_educate/C20_ConstructionLayout.asp,접속불가
이목전통칠기공예연구소 ,0.0,0건,리뷰 0,경북 성주군 대가면 용흥2길 53-6,(지번) 대가면 용흥리 695,054-932-8014,,
쌈지전통공예 ,0.0,0건,리뷰 0,경북 경산시 하양읍 불종고개1길 11,(지번) 하양읍 금락리 35-66,연락처 없음,,
반딧골전통공예문화촌 건강체험관,5.0,1건,리뷰 0,전북 무주군 무주읍 김환태로 16-6,(지번) 무주읍 당산리 918-3,연락처 없음,,
보은전통공예체험학교 체험학습장,0.0,0건,리뷰 0,충북 보은군 보은읍 속리산로 34,(지번) 보은읍 누청리 226-4,연락처 없음,,
전통동서 이조공예 ,0.0,0건,리뷰 0,부산 금정구 동부곡로15번길 58,(지번) 부곡동 285-2,051-512-1669,,
