공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
나만의향수만들기 ,0.0,0건,리뷰 0,전남 여수시 시청동3길 9,(지번) 학동 92-7,연락처 없음,,
향수공방 리스트 ,5.0,1건,리뷰 3,광주 광산구 신창로138번길 31-20 102호,(지번) 신창동 1142-1,연락처 없음,http://blog.naver.com/th713,200
프레드므아향수공방 ,0.0,0건,리뷰 1,경남 창원시 의창구 도계로4번길 36 2층,(지번) 도계동 346-5,010-5116-7155,https://www.instagram.com/presdemoi_perfume,접속불가
코엑스 C홀 전시관,4.0,1건,리뷰 157,서울 강남구 영동대로 513 본관 3층,(지번) 삼성동 159,02-6000-0114,http://www.coex.co.kr/,200
라붐 ,0.0,0건,리뷰 5,대구 남구 관문시장4길 62,(지번) 대명동 1173-2,연락처 없음,https://www.instagram.com/la_baume/,접속불가
앤플리아 ,0.0,0건,리뷰 17,대구 달서구 진천로18길 40 1층,(지번) 진천동 561-63,070-8196-6568,https://blog.naver.com/annflia,200
퍼퓸72 ,4.0,1건,리뷰 8,부산 부산진구 전포대로224번길 23,(지번) 전포동 305-21,070-8196-6568,,
초록도 ,0.0,0건,리뷰 17,대구 중구 동성로6길 12-3 3층,(지번) 공평동 39,연락처 없음,https://www.instagram.com/chorokdo.green_island/,접속불가
유아마이러브 ,0.0,0건,리뷰 1,대구 남구 중앙대로30길 56-6,(지번) 봉덕동 591-44,연락처 없음,http://www.instagram.com/yml_official,접속불가
아로마인드 ,5.0,1건,리뷰 42,서울 종로구 북촌로5길 19-7,(지번) 재동 32-18,02-747-7008,http://blog.naver.com/ruby100k,200
냄시 ,0.0,0건,리뷰 4,대전 중구 목척9길 30,(지번) 은행동 132-9,02-747-7008,https://blog.naver.com/naemsih,200
루나밍 ,4.0,4건,리뷰 77,서울 서대문구 연희로 18,(지번) 창천동 496,02-747-7008,http://blog.naver.com/lunaming202,200
아리엘 ,5.0,3건,리뷰 27,대전 서구 둔지로 38 플로채 건물 1층,(지번) 둔산동 980,02-747-7008,http://www.arielperfume.com/,200
라오크 ,5.0,2건,리뷰 39,서울 송파구 석촌호수로 284 현대레이크빌 지하1층 106호,(지번) 송파동 31-2,010-9789-0601,http://blog.naver.com/loungeofcraft/,200
니아벡 ,0.0,0건,리뷰 37,서울 광진구 자양로53길 15 1층,(지번) 구의동 28-46,02-444-7601,http://www.niavc.com/,200
향기억 ,2.0,3건,리뷰 51,서울 강남구 선릉로157길 23,(지번) 신사동 657-19,02-444-7601,,
아씨 방앗간 ,5.0,1건,리뷰 33,서울 종로구 돈화문로11다길 47,(지번) 익선동 166-68,02-444-7601,,
퍼퓸72 ,0.0,0건,리뷰 11,광주 동구 중앙로160번길 22 4층,(지번) 황금동 101,02-444-7601,https://instagram.com/perfume72_gwangju?igshid=8df6erc9j6rd,접속불가
초록도 ,0.0,0건,리뷰 11,대구 동구 동부로34길 15,(지번) 신천동 394-13,연락처 없음,https://blog.naver.com/chorok_do,200
마벨블랑 ,5.0,1건,리뷰 2,대구 남구 명덕로64길 43-4 상가19,(지번) 이천동 203-5,053-295-8900,http://www.mabelblanc.com/,200
제이아로마 ,0.0,0건,리뷰 3,대구 중구 태평로 198 2층,(지번) 태평로1가 19-5,053-752-0988,https://blog.naver.com/2005you,200
천안청년몰 흥흥발전소 문화시설,0.0,0건,리뷰 30,충남 천안시 동남구 은행길 5-4,(지번) 대흥동 79-4,053-752-0988,,
라비앙수 ,1.0,1건,리뷰 18,부산 수영구 수영로594번길 63 1층,(지번) 광안동 135-30,연락처 없음,,
향기제작소 김해점 ,0.0,0건,리뷰 5,경남 김해시 가락로37번길 9 1층,(지번) 부원동 601-4,연락처 없음,https://www.instagram.com/hg2_4002/,접속불가
아베크라룬 ,5.0,1건,리뷰 18,대구 수성구 범어로18길 86 1층,(지번) 범어동 65-25,연락처 없음,http://blog.naver.com/rlathgml0224,200
플라비 ,4.0,1건,리뷰 4,서울 송파구 송파대로48길 20 지하1층,(지번) 송파동 29-12,010-5019-5769,https://www.instagram.com/fla.b_/,접속불가
지윤디자인반지공방 ,1.7,3건,리뷰 20,경기 고양시 일산동구 무궁화로 20-11 315호,(지번) 장항동 761-1,031-901-9097,,
파베프로젝트 ,0.0,0건,리뷰 11,부산 동래구 중앙대로1333번길 42-4 1층,(지번) 온천동 1433-38,연락처 없음,,
그린핀아 ,0.0,0건,리뷰 17,부산 부산진구 동천로132번길 30 2층,(지번) 전포동 657-12,연락처 없음,http://instagram.com/greenpina_studio,접속불가
유자아뜰리에 ,0.0,0건,리뷰 8,경남 남해군 삼동면 봉화로 143,(지번) 삼동면 봉화리 841,010-8521-2129,http://instagram.com/scentyuja,접속불가
희나리공방 ,0.0,0건,리뷰 6,경북 구미시 여헌로6길 8,(지번) 인의동 589-6,010-8420-8891,https://heenari.modoo.at/,200
요망진제주 월정점 ,4.3,3건,리뷰 4,제주특별자치도 제주시 구좌읍 월정7길 47,(지번) 구좌읍 월정리 63,010-3918-3047,https://www.instagram.com/yomangjin_jeju/,접속불가
르보네르 ,0.0,0건,리뷰 17,경북 구미시 야은로45길 4-3 2층,(지번) 신평동 70-251,연락처 없음,https://www.instagram.com/_lebonheur.15,접속불가
공간프로젝트 향수,5.0,2건,리뷰 16,서울 관악구 관악로12길 42 1층,(지번) 봉천동 1609-2,연락처 없음,http://gongganproject.com/,200
아뜰리에 동명 ,0.0,0건,리뷰 10,광주 동구 장동로 19-1 2층,(지번) 장동 84-1,연락처 없음,,
나나이로상점 ,0.0,0건,리뷰 3,부산 부산진구 가야대로 560-1 1층,(지번) 가야동 230-6,연락처 없음,https://nanairoshop.modoo.at/,200
알유데어 ,5.0,1건,리뷰 4,부산 부산진구 서전로38번길 62 3층,(지번) 전포동 685-1,연락처 없음,https://blog.naver.com/ryuuttum,200
마조레 ,0.0,0건,리뷰 6,부산 남구 수영로 283 벽산솔렌스힐 103동 1층 105호,(지번) 대연동 384-26,010-6612-1496,https://blog.naver.com/bgjy79,200
수린공방 ,0.0,0건,리뷰 10,인천 부평구 길주로585번길 7-6,(지번) 갈산동 393-8,연락처 없음,https://blog.naver.com/slinsoo,200
달의작업실 ,5.0,1건,리뷰 12,서울 은평구 응암로21가길 9-11 1층,(지번) 응암동 126-5,연락처 없음,https://lsk2519.blog.me/,200
미님므 ,0.0,0건,리뷰 2,경기 화성시 노작로4길 22-19 102호,(지번) 반송동 114-1,연락처 없음,http://blog.naver.com/oj_hj,200
만들고가게 ,0.0,0건,리뷰 22,경기 부천시 경인로110번길 33,(지번) 송내동 383-11,032-652-0808,http://blog.naver.com/mandulgo_gage,200
오늘감성 ,0.0,0건,리뷰 7,경기 안양시 만안구 예술공원로 204,(지번) 안양동 1361-4,031-346-6262,,
