공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
핸드메이드 가구공방 ,0.0,0건,리뷰 1,서울 마포구 망원로3길 38 1층,(지번) 망원동 432-28,,http://blog.naver.com/theone18
대전뚝딱이가구공방,5.0,1건,리뷰 0,대전 서구 관저동로99번길 50 1층,(지번) 관저동 1232,,http://blog.naver.com/letsdiy
가구공방아르,0.0,0건,리뷰 0,경기 용인시 수지구 죽전로278번길 21-1 지하 1층,(지번) 죽전동 1393-3,031-889-3183,http://www.arture.co.kr/
배병돈작품가구공방,0.0,0건,리뷰 0,대구 수성구 파동로 73,(지번) 파동 507-4,연락처 없음,
가구공방 호큰공방,0.0,0건,리뷰 1,서울 동작구 여의대방로22길 112 지하1층,(지번) 신대방동 357-4,연락처 없음,https://smartstore.naver.com/hoaken
가림가구공방,5.0,4건,리뷰 0,서울 도봉구 도봉로191길 100-46 1층,(지번) 도봉동 287-4,010-4448-2024,http://blog.naver.com/rjw0521
가구공방,0.0,0건,리뷰 0,서울 서대문구 홍제내길 52 지층,(지번) 홍제동 361-49,연락처 없음,http://sungreenwood.com/
가구와그림,0.0,0건,리뷰 1,광주 남구 군분로 44,(지번) 월산동 1042-29,062-385-5350,
원목가구공방,0.0,0건,리뷰 0,대전 유성구 왕가봉로 10,(지번) 노은동 557-3,연락처 없음,
가구공방나무,0.0,0건,리뷰 0,전북 전주시 덕진구 석소1길 6,(지번) 우아동2가 876-10,010-376-7910,
마이꿈가구,0.0,0건,리뷰 0,경기 의정부시 용민로92번길 20,(지번) 용현동 555-5,연락처 없음,
아크라프트 가구공방,3.5,2건,리뷰 0,경기 성남시 분당구 서현로237번길 27 1층,(지번) 서현동 83-7,연락처 없음,https://arkraft.modoo.at/
아라가구,0.0,0건,리뷰 0,경기 용인시 수지구 포은대로512번길 10 죽전가구백화점 2층,(지번) 죽전동 1291,031-264-7834,https://blog.naver.com/aragagu
도자기와나무 가구공방,0.0,0건,리뷰 0,전북 완주군 구이면 구이로 1435-9,(지번) 구이면 항가리 246,연락처 없음,
가구공방꿈틀,0.0,0건,리뷰 0,경기 의정부시 둔야로45번길 50 1층,(지번) 의정부동 478-21,010-2612-9320,
