공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
호반아,4.5,2건,리뷰 108,경기 광명시 양지로 16,(지번) 일직동 산 42-1,,http://www.hobanartrium.com/
이재효,5.0,1건,리뷰 13,경기 양평군 지평면 초천길 83-22,(지번) 지평면 무왕리 521,연락처 없음,http://www.leeart.name/
송영예의 바늘이야기 본사,4.6,5건,리뷰 12,경기 파주시 탄현면 법흥로 100-1,(지번) 탄현면 법흥리 497-114,연락처 없음,http://www.banul.co.kr/
수,5.0,3건,리뷰 0,경기 수원시 팔달구 매산로 131,(지번) 교동 90-7,031-243-9194,
위아트 부천점,0.0,0건,리뷰 9,경기 부천시 소사로216번길 27,(지번) 소사본동 137-6,031-243-9194,http://www.wart.or.kr/index.html
박씨상,3.7,3건,리뷰 10,경기 김포시 고촌읍 아라육로57번길 97,(지번) 고촌읍 전호리 733,031-8049-3263,http://www.koreasang.co.kr/
내디내만목공,0.0,0건,리뷰 4,경기 고양시 일산동구 동국로245번길 106,(지번) 성석동 137-2,031-976-7893,http://blog.naver.com/mydiy
303 하남가구단지(골드무,0.0,0건,리뷰 0,경기 하남시 하남대로 514,(지번) 천현동 538-1,031-794-5667,
지혜진아트도자기공방,5.0,1건,리뷰 0,경기 수원시 영통구 매봉로49번길 5 3층,(지번) 매탄동 1195-1,031-794-5667,https://www.instagram.com/cheehyejin_ceramic_studio
에이원아트,1.8,5건,리뷰 0,경기 성남시 분당구 황새울로342번길 9 지하1층,(지번) 서현동 250-3,031-708-6263,
이,0.0,0건,리뷰 0,경기 하남시 초이로 143,(지번) 초이동 80-2,031-6481-1126,http://www.irehb.co.kr/
쉐누301,4.6,5건,리뷰 25,경기 용인시 처인구 모현읍 문형동림로 171-1,(지번) 모현읍 동림리 301-2,연락처 없음,
고범석,0.0,0건,리뷰 0,경기 광주시 남한산성면 오전길 24-23 1층,(지번) 남한산성면 오전리 66,010-3042-9085,http://www.kobeomsuk.com/
죽산목,0.0,0건,리뷰 5,경기 안성시 일죽면 한다리길 98,(지번) 일죽면 방초리 971-4,연락처 없음,https://blog.naver.com/secukim
모,5.0,1건,리뷰 0,경기 의정부시 평화로 569-1,(지번) 의정부동 206-10,연락처 없음,https://blog.naver.com/monica0133
베이킹클럽 오븐빨,5.0,1건,리뷰 63,경기 수원시 영통구 원천동 589 어뮤즈스퀘어 지하1층 11호,(지번) 의정부동 206-10,031-214-1002,https://www.instagram.com/ovenpal/
갤러,5.0,3건,리뷰 16,경기 양평군 서종면 북한강로 991 3층,(지번) 서종면 문호리 617-2,031-774-5530,
빈치하다,5.0,1건,리뷰 32,경기 김포시 유현로237번길 88,(지번) 풍무동 820-36,연락처 없음,
,"D 두진프레임 액자,표구",0.0,0건,리뷰 0,(지번) 풍무동 820-36,연락처 없음,http://djp.kr/
남성모사,5.0,2건,리뷰 3,경기 수원시 팔달구 수원천로 246,(지번) 지동 418-3,031-255-6700,http://www.yarn.co.kr/
대원도재상사,4.0,2건,리뷰 1,경기 여주시 학동1길 4,(지번) 오학동 292-50,031-885-7005,http://www.ceramate.co.kr/
중앙미,1.0,1건,리뷰 0,경기 안산시 단원구 화랑로 402,(지번) 고잔동 527-8,031-413-6079(팩스),
용액자표구제작소,5.0,3건,리뷰 0,경기 의정부시 경의로 42,(지번) 의정부동 600-4,031-413-6079(팩스),http://blog.naver.com/yonggallery
일,5.0,1건,리뷰 5,경기 고양시 일산동구 대산로11번길 99 지하 1층,(지번) 정발산동 719-11,031-413-6079(팩스),
지윤디자인반지공방,1.7,3건,리뷰 20,경기 고양시 일산동구 무궁화로 20-11 315호,(지번) 장항동 761-1,031-901-9097,
황학동풍물시장골,0.0,0건,리뷰 0,경기 부천시 석천로 70-1,(지번) 중동 762-14,010-3938-0467,
비담은,0.0,0건,리뷰 2,경기 이천시 신둔면 도자예술로6번길 60,(지번) 신둔면 고척리 636-7,010-3938-0467,
울마트,5.0,1건,리뷰 1,경기 안양시 만안구 장내로125번길 34,(지번) 안양동 676-80,031-448-5255,http://www.woolmart.co.kr/
여주도자기,0.0,0건,리뷰 0,경기 여주시 여양로 295,(지번) 오학동 296-2,031-886-7497,
나눔갤러,5.0,1건,리뷰 3,경기 양주시 장흥면 호국로550번길 102-85,(지번) 장흥면 울대리 536,031-886-7497,http://www.nanumblue.art/
제니시스,0.0,0건,리뷰 0,경기 화성시 장안면 포승장안로 1003-11,(지번) 장안면 장안리 264-9,031-358-0180,http://www.i-genesis.co.kr/
반지더하기 일산점,0.0,0건,리뷰 53,경기 고양시 일산동구 중앙로1261번길 19 호수광장빌딩 1층 105호,(지번) 장항동 857,031-358-0180,https://banjiplus09.modoo.at/
선아트액자,0.0,0건,리뷰 0,경기 안양시 동안구 관악대로 422 부림빌딩 1층,(지번) 관양2동 1473-1,031-358-0180,http://www.seonart.co.kr/
안,0.0,0건,리뷰 0,경기 안양시 동안구 평촌대로 113,(지번) 신촌동 1065-7,031-476-1541(팩스),
갤러,0.0,0건,리뷰 0,경기 파주시 회동길 37-9,(지번) 문발동 526-6,031-476-1541(팩스),http://www.gallerypakyoung.com/
현,0.0,0건,리뷰 0,경기 부천시 송내대로73번길 42,(지번) 상동 407-2,032-321-3303,
CM,5.0,1건,리뷰 0,경기 남양주시 화도읍 가구단지6길 8-5,(지번) 화도읍 녹촌리 488-11,031-593-1030,
(주)삼신금속,0.0,0건,리뷰 0,경기 김포시 대곶면 대곶서로89번길 40,(지번) 대곶면 약암리 225,031-987-1863,
안성마춤 유기공방,0.0,0건,리뷰 3,경기 안성시 중앙로 448,(지번) 봉남동 7-3,031-987-1863,http://www.yugi-museum.com/
광명방짜유기공방,0.0,0건,리뷰 1,경기 광명시 동천말길 34-12,(지번) 옥길동 329,02-2615-6263,
아신,5.0,6건,리뷰 3,경기 양평군 옥천면 아신리 545-20,(지번) 옥길동 329,연락처 없음,
일신한,3.0,2건,리뷰 0,경기 수원시 팔달구 팔달로 185,(지번) 화서동 32-11,031-414-1226,http://hanjimall.net/
류미재갤러리,0.0,0건,리뷰 0,경기 가평군 청평면 고성리 763-8,,연락처 없음,
화성문,0.0,0건,리뷰 0,경기 화성시 경기대로 1014,(지번) 병점동 379-10,연락처 없음,
미술,5.0,1건,리뷰 0,경기 용인시 처인구 모현읍 곡현로619번길 13,(지번) 모현읍 매산리 268-4,031-767-1544,http://www.art7.co.kr/renewal/main.php
관양화랑표구,4.8,4건,리뷰 0,경기 안양시 동안구 관악대로 344,(지번) 관양동 1450,031-422-7732,
알베로목,5.0,2건,리뷰 0,경기 화성시 동탄지성로306번길 64-7,(지번) 반월동 265-23,031-224-5770,http://cafe.daum.net/alberowoodworking
아트스페,5.0,1건,리뷰 3,경기 성남시 분당구 정자일로 166,(지번) 정자동 159-3,연락처 없음,
,"D 베이지클래스 미술,공예",5.0,1건,리뷰 14,(지번) 정자동 159-3,연락처 없음,http://www.instagram.com/beigeclass
군포시 방짜유기전수교육관,5.0,1건,리뷰 0,경기 군포시 송부로 12,(지번) 도마교동 499-2,연락처 없음,
아트리에갤러리,0.0,0건,리뷰 0,경기 성남시 분당구 운중로146번길 29,(지번) 운중동 1025-3,연락처 없음,http://www.artrie.com/
청년공방,0.0,0건,리뷰 13,경기 수원시 팔달구 권광로187번길 10-3 4층,(지번) 인계동 1038-18,연락처 없음,http://www.instagram.com/cy_atelier
동국,0.0,0건,리뷰 0,경기 광명시 범안로 614,(지번) 노온사동 340-16,02-523-0107,
정도가,3.7,3건,리뷰 0,경기 이천시 신둔면 도자예술로6번길 46,(지번) 신둔면 고척리 636-9,031-638-2502,http://jungdoga.modoo.at/
이천도자기백화점,0.0,0건,리뷰 1,경기 이천시 경충대로2993번길 37,(지번) 사음동 539,031-636-5320,
그리고꿈꾸다,0.0,0건,리뷰 23,경기 수원시 장안구 금당로 61 상가 1층,(지번) 조원동 866-5,031-308-7147,https://drawdream.modoo.at/
우리손길,0.0,0건,리뷰 6,경기 이천시 신둔면 도자예술로5번길 6,(지번) 신둔면 고척리 607-6,031-308-7147,https://blog.naver.com/pho21/
더울,0.0,0건,리뷰 1,경기 성남시 수정구 수정로111번길 6-5 1층,(지번) 태평동 3689,031-758-1052,http://www.thewool.co.kr/
보석십자수수재샵 인계점,0.0,0건,리뷰 0,경기 수원시 팔달구 중부대로 80 상가 1층 7호,(지번) 인계동 1170,010-3782-8790,
헤이리마을캔들공방,3.0,4건,리뷰 13,경기 파주시 탄현면 헤이리마을길 93-143 1층,(지번) 탄현면 법흥리 1652-86,031-944-0421,http://blog.naver.com/atenajh0415
대성명찰,0.0,0건,리뷰 0,경기 성남시 수정구 수정남로 42 1층,(지번) 수진1동 100,031-751-5387,
,5.0,1건,리뷰 0,경기 부천시 부천로3번길 30 두성빌딩 601호,(지번) 심곡동 174-11,연락처 없음,http://www.hwabangmall.net/
