공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
아바텍,0.0,0건,리뷰 0,대구 달서구 달서대로85길 100,(지번) 호림동 3,053-592-4060,
라움아틀리에,0.0,0건,리뷰 61,대구 중구 교동1길 5 1층,(지번) 용덕동 1-19,010-2829-6868,http://www.instagram.com/Raum_atelier
호랑이공방,0.0,0건,리뷰 26,대구 달서구 월서로 31 신일해피트리상가 1동 2층,(지번) 상인동 150-11,연락처 없음,https://blog.naver.com/qksksk1215
호,2.8,42건,리뷰 21,서울 마포구 홍익로3길 20,(지번) 서교동 357-1,연락처 없음,http://www.homi.co.kr/
대구,4.0,1건,리뷰 0,대구 중구 달구벌대로 2109-11,(지번) 덕산동 127-32,053-421-3388,
모네화,5.0,1건,리뷰 0,대구 달서구 계대동문로 51-1,(지번) 신당동 1786-14,053-583-9923,
명덕화방문,0.0,0건,리뷰 0,대구 중구 명덕로 177,(지번) 남산동 2111-29,053-254-0243,
해밀공,5.0,1건,리뷰 0,대구 달서구 조암남로20길 60,(지번) 월성동 1539-2,053-952-7743,
조,2.2,5건,리뷰 1,부산 해운대구 달맞이길65번길 171,(지번) 중동 1501-15,053-952-7743,http://www.johyungallery.com/
철길마을,0.0,0건,리뷰 7,전북 군산시 구암3.1로 102-1,(지번) 경암동 636-17,연락처 없음,
롤드페인트,5.0,2건,리뷰 38,대구 중구 봉산문화길 92 1층,(지번) 봉산동 132-11,010-3000-6855,https://www.rolledpaint.com/
꾸미네작,0.0,0건,리뷰 0,"대구 달서구 성서로35길 3 1층,4층",(지번) 월암동 1-115,053-246-4587,http://milk0011.blog.me/
리안갤러리,0.0,0건,리뷰 1,대구 중구 이천로 188-1,(지번) 대봉동 727-15,053-424-2203,http://www.leeahngallery.com/
황실십자수,0.0,0건,리뷰 0,대구 중구 국채보상로 지하 580,(지번) 동성로2가 41-8,연락처 없음,
호반아,4.5,2건,리뷰 108,경기 광명시 양지로 16,(지번) 일직동 산 42-1,연락처 없음,http://www.hobanartrium.com/
,3.6,10건,리뷰 26,서울 종로구 삼청로 50,(지번) 소격동 70,연락처 없음,http://www.hakgojae.com/
팝콘D스퀘어,5.0,1건,리뷰 187,서울 용산구 한강대로23길 55 아이파크몰 테마파크 6층,(지번) 한강로3가 40-999,02-6373-3000,http://popcond.com/
