공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
물빛 공방(공예체험,0.0,0건,리뷰 0,경기 양평군 양서면 두물머리길 126,(지번) 양서면 양수리 708-3,연락처 없음,
늘품체험공방,0.0,0건,리뷰 0,대구 북구 호암로 51 삼성창조캠퍼스 기숙사 B동 창작아티스트센터 104호,(지번) 침산동 1759,0507-1404-9746,http://www.ddghope.co.kr/
도자기체험공방초이,0.0,0건,리뷰 0,서울 구로구 오류로8길 96,(지번) 오류동 146-4,02-6497-2001,
최강수학교습소/순천,0.0,0건,리뷰 0,전남 순천시 왕궁길 82,(지번) 조례동 1805-2,061-721-7200,
쌈지길체험공방,0.0,0건,리뷰 6,서울 종로구 인사동길 44 지하1층,(지번) 관훈동 38,연락처 없음,
목재문화체험,0.0,0건,리뷰 0,충북 증평군 증평읍 문화로 47,(지번) 증평읍 장동리 848,연락처 없음,
흥진윤민의원데이체험공방 ,0.0,0건,리뷰 0,서울 동대문구 약령서길 94,(지번) 제기동 887-143,연락처 없음,
수제어묵체험공방,0.0,0건,리뷰 0,경기 안산시 상록구 장하로 117,(지번) 장하동 253-9,010-2465-0034,
오월공방,4.0,1건,리뷰 6,대구 중구 봉산문화길 38 2층,(지번) 봉산동 223-17,010-3083-0032,https://www.instagram.com/owol_daegu/
포서네귤체험농장앤토탈공예공방,0.0,0건,리뷰 0,제주특별자치도 서귀포시 남원읍 태수로70번길 27,(지번) 남원읍 태흥리 822,연락처 없음,
솔도예공방,4.0,2건,리뷰 17,대구 중구 국채보상로140길 17-8 1층,(지번) 동인동4가 210-2,연락처 없음,https://www.instagram.com/sol_ceramic/
달달한쿠킹체험공,0.0,0건,리뷰 0,강원 영월군 무릉도원면 아래골길 50-2,(지번) 무릉도원면 무릉리 627-2,010-9419-6025,https://blog.naver.com/mongsil1107
미산체험공방카페,0.0,0건,리뷰 0,경기 이천시 마장면 중부대로644번길 87,(지번) 마장면 표교리 287,연락처 없음,
민들레체험공방,0.0,0건,리뷰 0,경북 예천군 예천읍 효자로 115-2,(지번) 예천읍 노하리 19-6,연락처 없음,
북촌명인체험공,0.0,0건,리뷰 0,서울 종로구 계동길 103-1,(지번) 계동 63-2,연락처 없음,http://www.ihen.co.kr/
초크아트체험공방,0.0,0건,리뷰 0,경기 파주시 탄현면 헤이리마을길 93-75,(지번) 탄현면 법흥리 1652-34,연락처 없음,
예쁜손체험카페공방,0.0,0건,리뷰 0,강원 춘천시 국사봉길 7 우성아파트 상가동 107호,(지번) 퇴계동 430,연락처 없음,
주영아로마힐링체험공방,0.0,0건,리뷰 0,전남 여수시 여서로 134,(지번) 여서동 489,연락처 없음,
보니아라 체험공방,0.0,0건,리뷰 2,서울 종로구 인사동길 44 쌈지길 지하1층~6층,(지번) 관훈동 38,연락처 없음,https://tape100.modoo.at/
든결목,0.0,0건,리뷰 8,대구 서구 서대구로62길 85-1,(지번) 비산동 1223-1,연락처 없음,http://blog.naver.com/jung601124
라움공방,0.0,0건,리뷰 25,경북 경주시 포석로1068번길 11,(지번) 황남동 241-9,연락처 없음,
At Cony 체험공방,0.0,0건,리뷰 0,경기 광명시 광일로 45,(지번) 광명동 19-7,02-6081-0072,
아트팩토리체험공방,0.0,0건,리뷰 0,서울 성동구 왕십리로 241 엔터식스파크에비뉴 지하 1층,(지번) 행당동 155-1,연락처 없음,
청년공방,5.0,3건,리뷰 52,서울 마포구 동교로 239 3층,(지번) 연남동 259-10,010-4622-7606,http://www.isntagram.com/aboutmod7606
녹색가게체험공방,0.0,0건,리뷰 0,강원 춘천시 남산면 남이섬길 1,(지번) 남산면 방하리 198,010-4622-7606,
사우공방,0.0,0건,리뷰 4,부산 중구 광복로39번길 34 2층,(지번) 신창동2가 2-12,010-4622-7606,https://sawoogongbang.modoo.at/
행복나무,0.0,0건,리뷰 8,대전 서구 도솔로 309-2,(지번) 괴정동 95-29,010-5112-8343,
