공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
공방카페 클래,3.0,2건,리뷰 3,서울 광진구 광장로 59,(지번) 광장동 259-5,,http://blog.naver.com/vemberhs/
클래스가죽공방,0.0,0건,리뷰 2,서울 마포구 성미산로 48-1 대명빌딩 5층,(지번) 성산동 242-21,010-2523-4536,https://blog.naver.com/ththqq0612
드림클래스공방,0.0,0건,리뷰 0,강원 태백시 황지로 204 3층,(지번) 황지동 265-8,033-553-1188,
베이지클래스,5.0,1건,리뷰 14,경기 부천시 소사로147번길 9 1층 101호,(지번) 소사본동 233-33,연락처 없음,http://www.instagram.com/beigeclass
내맘대로클래스,0.0,0건,리뷰 1,울산 중구 곽남길 102,(지번) 남외동 21-15,연락처 없음,
클래스포트,0.0,0건,리뷰 0,서울 강남구 테헤란로8길 28-4,(지번) 역삼동 827-50,연락처 없음,
무하유힐링클래스,0.0,0건,리뷰 11,경기 광주시 오포읍 수레안길41번길 60,(지번) 오포읍 능평리 606-6,010-9193-1154,http://blog.naver.com/license1154
코튼클래스,0.0,0건,리뷰 3,세종특별자치시 한누리대로 2165 대방디엠시티상가 c-102호,(지번) 보람동 738,010-9193-1154,https://cottonclass.modoo.at/
하리아리클래스,0.0,0건,리뷰 0,전북 전주시 덕진구 솔내4길 17 상가5호,(지번) 송천동1가 213,010-5463-6870,https://hariariclass.modoo.at/
미싱클래스,0.0,0건,리뷰 0,경기 고양시 일산서구 일산로636번길 15-2,(지번) 대화동 2025-10,연락처 없음,
벨라클래스,0.0,0건,리뷰 5,인천 남동구 구월로 79 2층,(지번) 간석동 749-8,연락처 없음,http://blog.naver.com/ccddtjsdud
웰든비누클래스,0.0,0건,리뷰 1,경기 안양시 만안구 안양로 340 5층,(지번) 안양동 689-147,070-7814-0707,https://blog.naver.com/oksoap/
하이클래스,0.0,0건,리뷰 1,인천 서구 청라에메랄드로149번길 4-11 1층 102호,(지번) 청라동 124-2,010-3311-5319,http://blog.naver.com/ha_e_class
하로클래스,0.0,0건,리뷰 0,제주특별자치도 서귀포시 색달로81번길 108 1층,(지번) 색달동 2074-2,연락처 없음,https://blog.naver.com/inonara
체리베이킹클래스,0.0,0건,리뷰 0,인천 서구 봉오재3로 90 6층 603호,(지번) 가정동 619-1,연락처 없음,https://m.blog.naver.com/cherry_baking
클래스1YP,0.0,0건,리뷰 0,서울 종로구 서순라길 161,(지번) 권농동 113,연락처 없음,http://blog.naver.com/gregrim
코튼클래스,0.0,0건,리뷰 0,서울 마포구 방울내로7길 23,(지번) 망원동 467-27,연락처 없음,https://cottonclass.modoo.at/
