공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
영천시오감공예체험캠핑장,0.0,0건,리뷰 7,경북 영천시 자양면 포은로 1625-11,(지번) 자양면 성곡리 537,054-338-2693,http://cafe.naver.com/5sensesworld
공예체험공간 한옥마을 한지 정보,0.0,0건,리뷰 0,전북 전주시 완산구 은행로 66,(지번) 교동 80-2,063-232-7700,
강촌공예체험마을 ,4.0,1건,리뷰 0,강원 춘천시 남면 여우내길 69,(지번) 남면 가정리 607,033-262-5321,
보은전통공예체험학교,0.0,0건,리뷰 0,충북 보은군 보은읍 속리산로 34,(지번) 보은읍 누청리 226-4,연락처 없음,
포항공예체험,0.0,0건,리뷰 0,경북 포항시 북구 중앙로298번길 3-2,(지번) 상원동 443-9,054-246-1007,http://www.xn--ob0bn98boweeli91bpspmy6a.com/main
전통공예체험협동조,0.0,0건,리뷰 0,경남 김해시 덕정로138번길 15-7,(지번) 관동동 457-19,연락처 없음,
공예체험센터,0.0,0건,리뷰 0,대전 대덕구 중리동로56번길 10,(지번) 중리동 149-4,연락처 없음,
물빛 공방(공예체험,0.0,0건,리뷰 0,경기 양평군 양서면 두물머리길 126,(지번) 양서면 양수리 708-3,연락처 없음,
공예 체험학습,0.0,0건,리뷰 0,경기 양평군 옥천면 동부길25번길 5,(지번) 옥천면 옥천리 442-9,연락처 없음,
공예체험교육관,0.0,0건,리뷰 0,경기 부천시 원미로 305 무형문화재 부천전수관 1층,(지번) 여월동 98-8,032-676-7573,
한국공예체험문화협회,0.0,0건,리뷰 0,경기 의왕시 이미로 19,(지번) 포일동 652,031-426-2040,
포서네귤체험농장앤토탈공예공방,0.0,0건,리뷰 0,제주특별자치도 서귀포시 남원읍 태수로70번길 27,(지번) 남원읍 태흥리 822,연락처 없음,
한지체험박,5.0,1건,리뷰 25,충북 괴산군 연풍면 원풍로 233,(지번) 연풍면 원풍리 437,연락처 없음,http://www.museumhanji.com/
증평민속체험박,5.0,1건,리뷰 16,충북 증평군 증평읍 둔덕길 89,(지번) 증평읍 남하리 91,연락처 없음,https://www.jp.go.kr/museum.do
북촌전통공예체험,5.0,1건,리뷰 1,서울 종로구 북촌로12길 24-5,(지번) 가회동 11-91,02-741-2148,
김선교공예체험장,0.0,0건,리뷰 1,경북 청송군 주왕산면 주왕산로 573,(지번) 주왕산면 하의리 374-1,010-4738-7782,
한국길버트공예센터,0.0,0건,리뷰 0,광주 광산구 신창로 105,(지번) 신창동 1254-7,연락처 없음,http://blog.naver.com/yhsj7889
한국창의공예교육센터,0.0,0건,리뷰 0,경기 부천시 역곡로490번길 59,(지번) 고강동 382-1,연락처 없음,
신라밀레니엄파크 공예체험마을,0.0,0건,리뷰 0,경북 경주시 엑스포로 55-12,(지번) 신평동 719-70,연락처 없음,
이상원미,4.2,17건,리뷰 133,강원 춘천시 사북면 화악지암길 99,(지번) 사북면 지암리 587,연락처 없음,http://www.lswmuseum.com/
유리섬박,3.2,25건,리뷰 66,경기 안산시 단원구 부흥로 254,(지번) 대부남동 3-13,032-885-6262,http://www.glassisland.co.kr/
온양민속박,4.4,13건,리뷰 64,충남 아산시 충무로 123,(지번) 권곡동 403-1,032-885-6262,http://www.onyangmuseum.or.kr/
한산모,4.0,4건,리뷰 57,충남 서천군 한산면 충절로 1089,(지번) 한산면 지현리 60-1,032-885-6262,http://seocheon.go.kr/mosi.do
종이미,4.9,17건,리뷰 32,경기 안산시 단원구 대남로 233,(지번) 대부남동 460-134,032-885-6262,http://www.xn--zb0bw7zdte34f8nb.kr/ys
해오름예술촌,3.4,13건,리뷰 28,경남 남해군 삼동면 동부대로 995,(지번) 삼동면 물건리 565-4,055-867-0706,http://cafe.daum.net/sunupart
전주공예품전,5.0,1건,리뷰 24,전북 전주시 완산구 태조로 15,(지번) 교동 65-5,063-282-8886,
안동포전,0.0,0건,리뷰 14,경북 안동시 임하면 금소길 341-12,(지번) 임하면 금소리 1028-14,063-282-8886,http://andongpo.or.kr/
도아도,2.0,1건,리뷰 19,대전 서구 둔산로206번길 34,(지번) 둔산동 1903,063-282-8886,https://doahstudio.modoo.at/
한국천연염색박,4.0,1건,리뷰 6,전남 나주시 다시면 백호로 379,(지번) 다시면 회진리 163,063-282-8886,http://www.naturaldyeing.or.kr/
터무,0.0,0건,리뷰 4,충북 청주시 상당구 영운천로55번길 47,(지번) 영운동 47-3,063-282-8886,http://www.instagram.com/heartsfactory1971/
전라남도농업박,3.0,1건,리뷰 6,전남 영암군 삼호읍 녹색로 653-15,(지번) 삼호읍 나불리 307,063-282-8886,https://www.jam.go.kr/
횡성한우체,5.0,1건,리뷰 12,강원 횡성군 횡성읍 문예로 41,(지번) 횡성읍 읍하리 283,063-282-8886,http://hshanwoo.co.kr/
무버레더,0.0,0건,리뷰 8,대전 서구 계룡로219번길 7 1층,(지번) 월평동 1471,063-282-8886,https://blog.naver.com/mornt
경주세계문화엑스포기,0.0,0건,리뷰 4,경북 경주시 경감로 614,(지번) 천군동 130,연락처 없음,
장안창작마,0.0,0건,리뷰 8,전남 순천시 금곡길 43,(지번) 금곡동 167-3,연락처 없음,
이비그가죽공방,5.0,2건,리뷰 104,서울 금천구 시흥대로153길 72 1층,(지번) 가산동 151-9,연락처 없음,https://blog.naver.com/evighet8
화문석문,5.0,2건,리뷰 6,인천 강화군 송해면 장정양오길 413,(지번) 송해면 양오리 630-1,연락처 없음,
송송공작소,5.0,1건,리뷰 16,전북 전주시 완산구 은행로 21,(지번) 풍남동2가 38-3,연락처 없음,https://www.instagram.com/ss_gongjakso
메디치가죽공방,5.0,1건,리뷰 90,서울 성동구 성수일로 10 서울숲ITCT 303호,(지번) 성수동1가 72-8,02-6362-0117,http://blog.naver.com/scuola_medici
베르데가죽공방,0.0,0건,리뷰 14,부산 동래구 아시아드대로181번길 32 1층,(지번) 사직동 22-42,연락처 없음,https://blog.naver.com/kbobee
언블런,4.6,11건,리뷰 5,서울 송파구 백제고분로7길 42-34,(지번) 잠실동 205-22,070-5124-5761,http://unblown.co.kr/
일로가죽공방,0.0,0건,리뷰 4,부산 동구 망양로 891 3층,(지번) 범일동 1445-46,연락처 없음,https://blog.naver.com/leaf130117/
스튜디오은은 가죽공방,5.0,1건,리뷰 15,충북 청주시 서원구 궁뜰로37번길 6,(지번) 장성동 1-4,연락처 없음,http://blog.naver.com/thorn43
스튜디오삼다,0.0,0건,리뷰 2,서울 서초구 방배천로8길 16-1 1층,(지번) 방배동 454-8,010-3907-9755,http://blog.naver.com/studio_samda/
향기바다,0.0,0건,리뷰 11,대전 동구 중앙로203번길 36,(지번) 중동 22-25,010-3907-9755,https://www.instagram.com/chj799577
곡성아트빌리지 시그나,0.0,0건,리뷰 2,전남 곡성군 오곡면 섬진강로 1455,(지번) 오곡면 송정리 81-3,연락처 없음,
헤럼,0.0,0건,리뷰 9,서울 서대문구 이화여대1안길 3 5층,(지번) 대현동 90-105,연락처 없음,https://blog.naver.com/arajoa1225
한슬가죽공방,0.0,0건,리뷰 18,서울 송파구 송파대로48길 3 1층 102호,(지번) 송파동 8-4,연락처 없음,https://blog.naver.com/seulvely5959
아라리도예공방,0.0,0건,리뷰 4,서울 성북구 정릉로36길 18,(지번) 정릉동 14-37,02-6406-9595,http://blog.naver.com/jinny9663
