공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
해밀공,5.0,1건,리뷰 0,대구 달서구 조암남로20길 60,(지번) 월성동 1539-2,053-952-7743,
꾸미네작,0.0,0건,리뷰 0,"대구 달서구 성서로35길 3 1층,4층",(지번) 월암동 1-115,053-246-4587,http://milk0011.blog.me/
목공방우드,0.0,0건,리뷰 6,대구 달서구 월배로14길 53 1층,(지번) 진천동 471-19,연락처 없음,http://blog.naver.com/woodclo0202
,D 끌과망치이야기 목공예,0.0,0건,리뷰 2,(지번) 진천동 471-19,연락처 없음,http://www.gglmang.co.kr/
나,0.0,0건,리뷰 0,대구 달서구 용산큰못2길 21,(지번) 용산동 921-14,연락처 없음,
헤펠레목공방 대구수목,5.0,1건,리뷰 0,대구 달서구 화암로 327 엘리트빌딩 101호,(지번) 대곡동 1038-2,연락처 없음,http://blog.naver.com/kobo7203
든결목,0.0,0건,리뷰 8,대구 서구 서대구로62길 85-1,(지번) 비산동 1223-1,연락처 없음,http://blog.naver.com/jung601124
키큰나무,5.0,1건,리뷰 0,대구 북구 학정동로 69,(지번) 학정동 948-5,010-5453-0052,http://blog.naver.com/kikennamu2
풍각나무,0.0,0건,리뷰 15,경북 청도군 풍각면 청려로 170-111,(지번) 풍각면 금곡리 927,054-373-8525,http://blog.naver.com/mangchi7304
나무느,0.0,0건,리뷰 9,대구 중구 봉산문화1길 30 2층,(지번) 봉산동 172-21,연락처 없음,https://blog.naver.com/kmj9618007/
나무작,0.0,0건,리뷰 0,부산 연제구 거제대로 94 대진빌딩,(지번) 거제동 721-3,051-867-1307,http://cafe.naver.com/nazak
303 하남가구단지(골드무,0.0,0건,리뷰 0,경기 하남시 하남대로 514,(지번) 천현동 538-1,031-794-5667,
내디내만목공,0.0,0건,리뷰 4,경기 고양시 일산동구 동국로245번길 106,(지번) 성석동 137-2,031-976-7893,http://blog.naver.com/mydiy
한솔,5.0,1건,리뷰 27,경남 양산시 상북면 충렬로 672,(지번) 상북면 소석리 594,010-3865-8764,https://blog.naver.com/fly2697
지오,0.0,0건,리뷰 0,대구 달성군 화원읍 명천로21길 17,(지번) 화원읍 천내리 541-1,053-294-0015,http://blog.naver.com/gowood701
