공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
라움아틀리에,0.0,0건,리뷰 61,대구 중구 교동1길 5 1층,(지번) 용덕동 1-19,010-2829-6868,http://www.instagram.com/Raum_atelier
대구,4.0,1건,리뷰 0,대구 중구 달구벌대로 2109-11,(지번) 덕산동 127-32,053-421-3388,
명덕화방문,0.0,0건,리뷰 0,대구 중구 명덕로 177,(지번) 남산동 2111-29,053-254-0243,
,"D 호랑이공방 미술,공예",0.0,0건,리뷰 26,(지번) 남산동 2111-29,053-254-0243,https://blog.naver.com/qksksk1215
롤드페인트,5.0,2건,리뷰 38,대구 중구 봉산문화길 92 1층,(지번) 봉산동 132-11,010-3000-6855,https://www.rolledpaint.com/
아바텍,0.0,0건,리뷰 0,대구 달서구 달서대로85길 100,(지번) 호림동 3,053-592-4060,
리안갤러리,0.0,0건,리뷰 1,대구 중구 이천로 188-1,(지번) 대봉동 727-15,053-424-2203,http://www.leeahngallery.com/
황실십자수,0.0,0건,리뷰 0,대구 중구 국채보상로 지하 580,(지번) 동성로2가 41-8,연락처 없음,
멜팅포인트,5.0,1건,리뷰 55,대구 중구 국채보상로 627 1층,(지번) 공평동 90-2,연락처 없음,http://www.instagram.com/melting_ham
메이크어포터리,0.0,0건,리뷰 18,대구 중구 국채보상로150길 76-12,(지번) 삼덕동3가 169-9,연락처 없음,https://www.instagram.com/make.a.pottery_official
상,0.0,0건,리뷰 0,대구 중구 중앙대로 292,(지번) 남산1동 710-2,053-424-5940,
해밀공,5.0,1건,리뷰 0,대구 달서구 조암남로20길 60,(지번) 월성동 1539-2,053-952-7743,
멜로우포터리,3.7,3건,리뷰 16,대구 중구 교동2길 37-13 2층,(지번) 완전동 5-41,010-7618-3393,https://www.instagram.com/mellow_pottery
그림안에액자,0.0,0건,리뷰 0,대구 중구 봉산문화길 94,(지번) 봉산동 132-9,053-422-1993,
은노리,0.0,0건,리뷰 6,대구 중구 동성로2길 12-17 2층,(지번) 봉산동 23-6,연락처 없음,https://blog.naver.com/eunnori21
솔도예공방,4.0,2건,리뷰 17,대구 중구 국채보상로140길 17-8 1층,(지번) 동인동4가 210-2,연락처 없음,https://www.instagram.com/sol_ceramic/
오월공방,4.0,1건,리뷰 6,대구 중구 봉산문화길 38 2층,(지번) 봉산동 223-17,010-3083-0032,https://www.instagram.com/owol_daegu/
갤러리,0.0,0건,리뷰 4,대구 중구 이천로 206,(지번) 대봉동 722-3,010-3083-0032,https://www.instagram.com/cnk_gallery/
