공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
,5.0,1건,리뷰 36,대전 중구 문화로 67-1,(지번) 유천동 285-21,연락처 없음,
둔,3.4,5건,리뷰 0,대전 서구 문정로 80,(지번) 탄방동 749,042-489-0074,
짙은공방,0.0,0건,리뷰 15,대전 중구 중앙로156번길 24 동화빌딩 5층,(지번) 은행동 143-3,연락처 없음,
,D 일신필방 화방,0.0,0건,리뷰 0,(지번) 은행동 143-3,연락처 없음,http://ilsinbrush.co.kr/
눌세라믹,0.0,0건,리뷰 11,대전 서구 월평서로25번길 47 지하1층,(지번) 월평동 1311,042-471-4885,https://blog.naver.com/yobii_0624
냄시,0.0,0건,리뷰 4,대전 중구 목척9길 30,(지번) 은행동 132-9,042-471-4885,https://blog.naver.com/naemsih
한,0.0,0건,리뷰 1,대전 중구 중앙로122번길 10,(지번) 대흥동 493-1,042-226-3330,
도아도,2.0,1건,리뷰 19,대전 서구 둔산로206번길 34,(지번) 둔산동 1903,042-226-3330,https://doahstudio.modoo.at/
아리엘,5.0,3건,리뷰 27,대전 서구 둔지로 38 플로채 건물 1층,(지번) 둔산동 980,042-226-3330,http://www.arielperfume.com/
쉼목,0.0,0건,리뷰 1,대전 동구 대전로839번길 75 2층,(지번) 중동 50-1,042-226-3330,http://blog.naver.com/bikemaker
디아나향기교습소,0.0,0건,리뷰 33,대전 유성구 원신흥남로42번길 5-20,(지번) 원신흥동 542-1,010-5550-4452,https://www.instagram.com/diana0902_/
아트사랑,5.0,2건,리뷰 0,대전 대덕구 한밭대로 1168,(지번) 중리동 251-17,010-5550-4452,http://www.artlove.or.kr/
작은창큰풍경협,0.0,0건,리뷰 1,대전 동구 대전천동로 580,(지번) 중동 51-32,042-223-8858,
카멜네온,5.0,1건,리뷰 10,대전 중구 중교로 93-1 2층,(지번) 은행동 72-7,042-223-8858,http://www.instagram.com/chamelneon
하늘강 아뜰리,0.0,0건,리뷰 9,대전 대덕구 대청호수로1326번길 75,(지번) 이현동 196-2,010-9577-6276,http://hanulkang.kr/
우디,5.0,2건,리뷰 0,대전 유성구 유성대로828번길 46 1층,(지번) 장대동 316-5,010-8232-2809,http://blog.naver.com/woodybro
공간액자,5.0,1건,리뷰 0,대전 중구 선화로 124,(지번) 선화동 244-2,042-222-2245,
도색하러간담,0.0,0건,리뷰 1,대전 서구 관저중로95번길 56,(지번) 관저동 1113,042-222-2245,
바른나무목공아카,0.0,0건,리뷰 1,대전 유성구 현충원로347번길 63-5 1층,(지번) 구암동 660-4,042-825-7950,http://cafe.daum.net/barunnamu
행복나무,0.0,0건,리뷰 8,대전 서구 도솔로 309-2,(지번) 괴정동 95-29,010-5112-8343,
이공,0.0,0건,리뷰 1,대전 중구 대흥로139번길 36,(지번) 대흥동 183-4,042-242-2020,http://www.igongart.co.kr/
명화,0.0,0건,리뷰 2,대전 서구 대덕대로 229 지하1층,(지번) 둔산동 1031,042-488-1854,
대전경,0.0,0건,리뷰 0,대전 중구 계백로1522번길 10,(지번) 유천동 338-17,042-545-0404,
무버레더,0.0,0건,리뷰 8,대전 서구 계룡로219번길 7 1층,(지번) 월평동 1471,042-545-0404,https://blog.naver.com/mornt
모아의작업실,0.0,0건,리뷰 2,대전 중구 동서대로1235번길 24-4 지하1층,(지번) 태평동 338-43,연락처 없음,https://www.instagram.com/yj_moi/
유성표구화랑,0.0,0건,리뷰 0,대전 유성구 계룡로 17,(지번) 봉명동 563-14,연락처 없음,
현대,0.0,0건,리뷰 1,대전 중구 중교로 33,(지번) 대흥동 465-2,042-254-7978,
대전액자거울,0.0,0건,리뷰 0,대전 서구 도솔로 432,(지번) 탄방동 60-3,042-524-3768,
영아트,0.0,0건,리뷰 0,대전 중구 보문산로36번길 8 지하,(지번) 산성동 120-12,연락처 없음,
명인,5.0,1건,리뷰 0,대전 서구 오량1길 72,(지번) 복수동 283-149,042-581-3131,
오즈,5.0,3건,리뷰 1,대전 중구 테미로44번안길 10,(지번) 대흥동 326-323,042-581-3131,http://blog.naver.com/ozantique
대전세종목공,5.0,1건,리뷰 7,대전 유성구 노은동로87번길 5-9,(지번) 노은동 535-19,010-3174-0316,http://blog.naver.com/lkjpqmz
대전 황실유럽십자수,0.0,0건,리뷰 0,대전 동구 계족로 지하 176 1층,(지번) 대동 407-1,042-623-1045,
꼼지락소소,5.0,1건,리뷰 23,대전 서구 관저남로25번길 23-47 솔빌101호,(지번) 관저동 1555-2,042-623-1045,https://blog.naver.com/sosohan_you
제일컴퓨터자수,0.0,0건,리뷰 0,대전 동구 중앙로200번길 62-1,(지번) 원동 60-2,042-252-0139,http://www.jasu00.cafe24.com/
왕실십자수,0.0,0건,리뷰 0,대전 서구 대덕대로 150,(지번) 갈마동 1418,042-531-1929,
느린,0.0,0건,리뷰 2,대전 동구 옛신탄진로75번길 62,(지번) 홍도동 125-20,연락처 없음,http://blog.naver.com/by020202
신촌액자,0.0,0건,리뷰 0,대전 서구 문정로170번길 89,(지번) 둔산동 2072,042-931-8228,
작은숲나무,5.0,2건,리뷰 0,대전 유성구 원신흥남로11번길 12-8,(지번) 원신흥동 574-9,042-822-2201,http://blog.naver.com/moonhoi65
가람화랑표구사,5.0,4건,리뷰 0,대전 중구 선화로 39,(지번) 용두동 52-19,042-221-4511,
신세계화랑표구사,0.0,0건,리뷰 0,대전 서구 도솔로 274-1,(지번) 내동 1-6,042-533-1350,
이목초,0.0,0건,리뷰 0,대전 중구 계룡로 762 1층,(지번) 오류동 191-6,042-253-0880,
갤러,0.0,0건,리뷰 0,대전 유성구 동서대로179번길 62-8,(지번) 덕명동 593-3,042-822-8887,https://thebeam.modoo.at/
이,0.0,0건,리뷰 0,대전 서구 둔지로 64,(지번) 둔산동 969,연락처 없음,https://blog.naver.com/lida_mong/
수정액자,0.0,0건,리뷰 0,대전 동구 태전로 29,(지번) 중동 8-12,042-255-6005,
길가죽공방,0.0,0건,리뷰 1,대전 유성구 계룡로59번길 8 201호,(지번) 봉명동 444-16,010-5542-1002,https://blog.naver.com/sayjee1
황실유럽십자수,5.0,2건,리뷰 0,대전 서구 청사서로 41 백합아파트 상가 1층 102호,(지번) 월평동 266,042-226-1844,
목,0.0,0건,리뷰 0,대전 서구 만년남로3번길 46-5,(지번) 만년동 162,010-3636-6887,
,D 오성표구사 화방,0.0,0건,리뷰 0,(지번) 만년동 162,010-3636-6887,
캘리그라피붓향,0.0,0건,리뷰 3,대전 유성구 반석동로 54,(지번) 반석동 633-1,042-636-7008,
도나트앤코,0.0,0건,리뷰 1,대전 서구 도산로 228 1층,(지번) 변동 12-10,010-2575-6300,http://blog.naver.com/cem6300/
고려컴퓨터자수,0.0,0건,리뷰 0,대전 대덕구 계족로574번길 60,(지번) 중리동 116-1,042-621-5361,
은방이네,0.0,0건,리뷰 0,대전 중구 대전천서로 529,(지번) 선화동 82-1,연락처 없음,http://blog.naver.com/oktopsam
찬도예공방,0.0,0건,리뷰 0,대전 서구 월평로13번길 84 1층,(지번) 월평동 420,042-486-1990,
