공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
솔도예공방,4.0,2건,리뷰 17,대구 중구 국채보상로140길 17-8 1층,(지번) 동인동4가 210-2,연락처 없음,https://www.instagram.com/sol_ceramic/
도예공방 굄,0.0,0건,리뷰 0,대구 북구 학정동로 42-21,(지번) 학정동 973-7,연락처 없음,https://instagram.com/pottery_goem
오붓 도예공방,0.0,0건,리뷰 6,서울 동대문구 고산자로 488 3층,(지번) 제기동 798,010-8691-7396,http://instagram.com/oboot_ceramic
은하도예공방,0.0,0건,리뷰 15,울산 중구 태화로 98 2층,(지번) 태화동 776-7,010-3885-1200,
도예공방다락,0.0,0건,리뷰 0,대구 북구 대천로17길 9-8,(지번) 동천동 926-3,연락처 없음,
토담도,0.0,0건,리뷰 0,대구 수성구 무학로35길 28,(지번) 지산1동 1030-2,연락처 없음,
이재철 도예공방,5.0,3건,리뷰 11,서울 광진구 능동로 151 3층,(지번) 화양동 2-44,010-5367-6433,http://www.clayjc.com/
이음도예공,0.0,0건,리뷰 0,대구 수성구 범안로3길 37,(지번) 범물동 1339-6,연락처 없음,
손인아도예공방,0.0,0건,리뷰 0,대구 수성구 용학로35길 35,(지번) 지산동 1251-8,연락처 없음,
담경도예공방,5.0,1건,리뷰 0,대구 중구 국채보상로150길 27,(지번) 동인동4가 521-4,연락처 없음,
도우도예공방,0.0,0건,리뷰 0,대구 중구 명륜로22길 29,(지번) 남산동 729,연락처 없음,
정인스페이스 도예공방,0.0,0건,리뷰 0,대구 북구 동암로37길 3-15,(지번) 국우동 1100-2,연락처 없음,
도예공방 토우미,0.0,0건,리뷰 0,대구 수성구 청솔로22길 13-4,(지번) 범어1동 805-12,연락처 없음,http://cafe.daum.net/toemi
뿌리도예공방,5.0,1건,리뷰 0,경북 경산시 자인면 계정길 18-4,(지번) 자인면 서부리 607-6,연락처 없음,
김미미도예공방,0.0,0건,리뷰 3,경기 의정부시 동일로 216-21,(지번) 장암동 97-14,031-837-3072,https://www.instagram.com/kim_mimi_ceramics
찬도예공방,0.0,0건,리뷰 0,대전 서구 월평로13번길 84 1층,(지번) 월평동 420,042-486-1990,
도예공방,0.0,0건,리뷰 0,부산 북구 낙동북로 751,(지번) 구포동 1295,연락처 없음,
도예공방 공기,0.0,0건,리뷰 3,경기 수원시 권선구 동수원로36번길 11 1층,(지번) 곡반정동 589-7,010-2069-6179,https://blog.naver.com/gong-gi
흙바라기도예공방,5.0,1건,리뷰 1,인천 부평구 마장로 470,(지번) 청천2동 9-70,070-7310-0502,http://claybaragi.blog.me/
도예공방빛담,0.0,0건,리뷰 0,대구 수성구 노변공원로 65,(지번) 노변동 317-3,연락처 없음,
두순빌딩 토향도예공방,0.0,0건,리뷰 0,경북 칠곡군 북삼읍 북삼로 157,(지번) 북삼읍 숭오리 17-7,054-972-6878,
C&S갤러리 도예공방,0.0,0건,리뷰 1,경기 의왕시 학현로 134,(지번) 학의동 463,031-426-3108,
토리도예공방,0.0,0건,리뷰 0,세종특별자치시 한누리대로 157 2층,(지번) 나성동 723,연락처 없음,
솔티도예공방,0.0,0건,리뷰 0,전북 정읍시 입암면 정읍남로 781-8,(지번) 입암면 마석리 138-11,연락처 없음,
제주영 도예공방,5.0,3건,리뷰 0,제주특별자치도 서귀포시 서호중앙로 55 A동 307호,(지번) 서호동 1605,0505-1387-8013,
권기형도예공방,0.0,0건,리뷰 0,대구 동구 동내로 34,(지번) 괴전동 108-1,연락처 없음,
아토도예공방,0.0,0건,리뷰 1,제주특별자치도 서귀포시 남성로 134-1,(지번) 서홍동 744-3,010-7102-9951,https://www.instagram.com/artoceramicfactory/
류도예공방,0.0,0건,리뷰 0,대구 동구 신암남로23길 42,(지번) 신암동 284,연락처 없음,
강성애도예테마기획실누리공,0.0,0건,리뷰 0,경북 칠곡군 왜관읍 평장4길 28,(지번) 왜관읍 왜관리 676,연락처 없음,
박보성도예공방,0.0,0건,리뷰 0,경북 성주군 벽진면 자산3길 123,(지번) 벽진면 자산리 596-2,054-933-2065,
도예공방 미소,0.0,0건,리뷰 0,울산 중구 함월15길 7 1층,(지번) 성안동 809-7,010-2595-1067,
향기도예공,0.0,0건,리뷰 0,경북 칠곡군 북삼읍 안산2길 15-7,(지번) 북삼읍 숭오리 26-8,연락처 없음,
