공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
도자기공방 노원,5.0,1건,리뷰 2,대구 북구 침산남로 9-3,(지번) 노원동1가 217,연락처 없음,https://blog.naver.com/noonecera
도자기공방 수작,0.0,0건,리뷰 0,대구 달성군 다사읍 대실역북로2길 115 1층,(지번) 다사읍 매곡리 1530-7,053-585-9832,http://blog.naver.com/soojak79
늬앙스도자기공방,0.0,0건,리뷰 0,대구 남구 안골길 49-1,(지번) 대명동 853-12,010-2383-6126,https://blog.naver.com/intechno
,"D 그림그린도자기공방 미술,공예",5.0,1건,리뷰 0,(지번) 대명동 853-12,010-2383-6126,http://cafe.daum.net/paintingdeco
지혜진아트도자기공방,5.0,1건,리뷰 0,경기 수원시 영통구 매봉로49번길 5 3층,(지번) 매탄동 1195-1,010-2383-6126,https://www.instagram.com/cheehyejin_ceramic_studio
하늘닮은도자기공방 마산본점,0.0,0건,리뷰 34,경남 창원시 마산회원구 3.15대로 560,(지번) 회원1동 165-5,010-2979-3507,http://www.xn--ob0bx0i77izi0a.kr/
도자기공방 모색,0.0,0건,리뷰 7,부산 금정구 중앙대로1660번길 6,(지번) 부곡동 255-2,010-2979-3507,https://www.instagram.com/ms_ceramics/
하이리 부산도자기공방,5.0,1건,리뷰 0,부산 동래구 온천천로471번가길 51-8 2층,(지번) 안락동 631-39,연락처 없음,
크레아토도자기공방,0.0,0건,리뷰 1,서울 서초구 방배로16길 11-11 지하,(지번) 방배동 905-10,070-8623-2409,http://blog.naver.com/designstudiok
속닥속닥도자기공방,0.0,0건,리뷰 0,대구 북구 동암로38길 9,(지번) 구암동 775-6,연락처 없음,
도자기공방,0.0,0건,리뷰 0,서울 송파구 송파대로48길 29,(지번) 송파동 33,연락처 없음,
타다도자기공방,0.0,0건,리뷰 1,서울 마포구 동교로50길 11 3층,(지번) 연남동 224-6,연락처 없음,https://www.instagram.com/tada_ceramic/
리베르테 도자기공방,5.0,1건,리뷰 0,대구 동구 큰고개로 23 라동 상가 202호,(지번) 신암동 622,연락처 없음,
소소도자기공방,0.0,0건,리뷰 2,경북 포항시 남구 연일읍 유강길 22 청구타운 2층,(지번) 연일읍 유강리 594,010-5684-0755,https://blog.naver.com/najar2
허들링도자기공방,0.0,0건,리뷰 2,인천 부평구 길주로585번길 8-2,(지번) 갈산동 395,연락처 없음,https://www.instagram.com/popomang/
꽃길도자기공방,0.0,0건,리뷰 2,전남 순천시 해룡면 매안3길 11 두리안빌딩 1층,(지번) 해룡면 신대리 2029-3,010-8289-9809,https://www.instagram.com/flowerwaypot/
도란도자기공방,0.0,0건,리뷰 3,경기 고양시 덕양구 권율대로 902,(지번) 신원동 628-1,연락처 없음,
도자기체험공방초이,0.0,0건,리뷰 0,서울 구로구 오류로8길 96,(지번) 오류동 146-4,02-6497-2001,
,"D 토토랑도자기공방 미술,공예",0.0,0건,리뷰 0,(지번) 오류동 146-4,02-6497-2001,http://blog.naver.com/totorang1134
다옴도자기공방,0.0,0건,리뷰 0,경기 하남시 이성로41번길 16,(지번) 춘궁동 35,연락처 없음,
비밤도자기공방,0.0,0건,리뷰 2,서울 마포구 동교로 212-16 2층,(지번) 동교동 153-14,연락처 없음,https://www.instagram.com/studio_beebalm/
예기 도자기 공방,0.0,0건,리뷰 0,부산 강서구 신호산단2로49번길 58 스마트빌 1층,(지번) 신호동 229-4,연락처 없음,https://blog.naver.com/clabee
소풍도자기공방,5.0,2건,리뷰 0,경북 군위군 효령면 간동유원지길 55,(지번) 효령면 성리 724,010-2527-4420,https://www.instagram.com/azimae65/
오로지 도자기공방,5.0,1건,리뷰 0,경기 용인시 처인구 명지로60번길 39-17 1층,(지번) 역북동 774-6,010-9349-1249,http://blog.naver.com/ceramickim
소운도자기공방,0.0,0건,리뷰 2,충북 청주시 흥덕구 3순환로773번길 39,(지번) 석곡동 86,연락처 없음,https://blog.naver.com/cucudi01
윤슬도자기공방,3.7,3건,리뷰 7,경기 수원시 장안구 장안로30번길 19 1층,(지번) 영화동 419-13,010-4532-7142,https://www.instagram.com/yunseul_ceramic/
