공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
뜨개공방,0.0,0건,리뷰 0,대구 남구 대명로 38,(지번) 대명동 1111-1,053-561-0708,
행복뜨개공방,0.0,0건,리뷰 0,대구 동구 아양로39길 40,(지번) 신암동 61-11,연락처 없음,
야나뜨개공방,0.0,0건,리뷰 0,서울 중구 청계천로 204-1 태양빌딩 4층,(지번) 주교동 30,02-2279-1810,http://www.yarn-a.com/
,"D 란뜨개공방 수예,자수",0.0,0건,리뷰 0,(지번) 주교동 30,02-2279-1810,
행복한뜨개공방,0.0,0건,리뷰 0,부산 수영구 망미번영로70번길 38,(지번) 수영동 460-4,051-755-9990,
제이로시뜨개공방,0.0,0건,리뷰 0,서울 중랑구 사가정로52길 9 2층,(지번) 면목동 634-16,010-4166-4892,
랑카뜨개공방,0.0,0건,리뷰 0,서울 동작구 상도동 535 2층,,연락처 없음,
레몬트리뜨개공방,0.0,0건,리뷰 0,경기 성남시 분당구 돌마로366번길 8 푸른마을아파트 쌍용B상가 103호,(지번) 수내동 75,031-718-8084,
비숍뜨개공방,5.0,8건,리뷰 0,서울 광진구 자양로48길 6 1층 101호,(지번) 구의동 47-7,02-459-9700,http://blog.naver.com/al443700
이하은뜨개공방,0.0,0건,리뷰 0,부산 서구 대영로 33-1,(지번) 서대신동2가 131-1,051-246-0099,
설렘(가죽 뜨개공방),0.0,0건,리뷰 0,부산 기장군 정관읍 정관로 350,(지번) 정관읍 모전리 730,051-728-1304,
뜨개공방,0.0,0건,리뷰 0,서울 서초구 바우뫼로7길 27 동양상가 1층,(지번) 우면동 59,051-728-1304,
얀&니들뜨개공방,0.0,0건,리뷰 0,서울 강서구 공항대로61길 39,(지번) 등촌동 633-29,연락처 없음,
실과바늘뜨개공방,0.0,0건,리뷰 0,경기 고양시 덕양구 화신로 36,(지번) 행신동 783,연락처 없음,
세종별이네뜨개공방,0.0,0건,리뷰 0,세종특별자치시 다솜1로 140 도램마을1단지 상가2동 104-1호,(지번) 도담동 845,044-863-3044,https://blog.naver.com/hahajjl
하와유뜨개공방,0.0,0건,리뷰 0,경기 하남시 아리수로 570,(지번) 망월동 1081,연락처 없음,
뜨개도치공방,0.0,0건,리뷰 0,경기 용인시 기흥구 서천서로20번길 8-1,(지번) 서천동 718-7,010-3390-9242,
행복한뜨개공방,0.0,0건,리뷰 0,부산 수영구 망미로22번길 26,(지번) 망미동 804-22,051-755-9999,
,"D 뜨개공방 수예,자수",0.0,0건,리뷰 0,(지번) 망미동 804-22,051-755-9999,
실바람뜨개공방,0.0,0건,리뷰 0,충남 당진시 당진중앙2로 27,(지번) 읍내동 558-12,연락처 없음,
꽃뜰래 뜨개공방,0.0,0건,리뷰 0,광주 북구 비엔날레로 54-16 1층,(지번) 운암동 117-10,연락처 없음,
서영의뜨개공방,0.0,0건,리뷰 0,서울 노원구 한글비석로 384,(지번) 중계동 591,연락처 없음,
몰리스뜨개공방,0.0,0건,리뷰 0,경기 안양시 만안구 박달로 538,(지번) 박달동 68-43,연락처 없음,
서영의뜨개공방,0.0,0건,리뷰 0,서울 노원구 한글비석로 396,(지번) 상계동 173-1,02-997-9054,
진뜨개공방,0.0,0건,리뷰 0,경기 양주시 덕정6길 8,(지번) 덕정동 132-16,연락처 없음,
뜨개공방에이미,0.0,0건,리뷰 0,전북 군산시 구영2길 2,(지번) 신창동 4-5,연락처 없음,
니트뜨개공,0.0,0건,리뷰 0,광주 북구 비엔날레로 54-2,(지번) 운암동 117-13,062-526-6990,
뜨개공방,0.0,0건,리뷰 0,서울 송파구 방이1동 115-116,,연락처 없음,
뜨개공,0.0,0건,리뷰 0,인천 동구 송미로24번길 17-5,(지번) 송림동 8-666,연락처 없음,
리네아손뜨개한옥공방,5.0,1건,리뷰 1,대구 중구 국채보상로 492-30,(지번) 동산동 136,053-252-1541,https://blog.naver.com/lineaknitting/
