공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
단하나케이크만들기 제,3.0,2건,리뷰 10,대구 중구 동성로6길 25 3층,(지번) 공평동 25-6,,
대구시마을공동체만,0.0,0건,리뷰 0,대구 남구 대명로 239-2 3층,(지번) 대명동 1699-18,,http://daegumaeul.org/
만들기전문,4.4,9건,리뷰 62,경기 군포시 산본로323번길 10-22 청운빌딩 3층,(지번) 산본동 1131-2,,http://foodmanjum.modoo.at/
바른몸만들,0.0,0건,리뷰 0,대구 달서구 조암로 8 4층,(지번) 월성동 1815,053-637-9410,http://jmr4082.modoo.at/
천연비누만들기,0.0,0건,리뷰 0,대구 달서구 대명천로 84,(지번) 성당동 395-6,연락처 없음,
좋은pc만들기,0.0,0건,리뷰 0,대구 서구 국채보상로34길 67,(지번) 중리동 114-1,연락처 없음,
추억만들기펜션캠핑장 ,5.0,4건,리뷰 1,경기 여주시 북내면 중암1길 4,(지번) 북내면 중암리 417,010-5323-9555,http://cafe.daum.net/makememorys
케이크만들기단하나 신천점 제,2.8,4건,리뷰 72,서울 송파구 백제고분로7길 33 3층,(지번) 잠실동 182-4,010-5323-9555,http://cakedan.com/
추억,4.5,6건,리뷰 6,강원 고성군 토성면 토성로 114,(지번) 토성면 천진리 2-15,010-5517-9545,http://xn--ok0b30kwpep0o3rj.com/
미인만들,0.0,0건,리뷰 0,대구 달서구 송현동1길 8,(지번) 송현동 1929-5,053-655-3373,
미인만들,0.0,0건,리뷰 0,대구 동구 율하동로28길 42-1,(지번) 신기동 101,연락처 없음,
아름다운세상만들기 요양,5.0,1건,리뷰 0,서울 강서구 공항대로65길 1-5 3층,(지번) 염창동 272-8,02-2659-8777,
임실치즈피자만들기 체험관,0.0,1건,리뷰 1,대구 달성군 가창면 우록길 244,(지번) 가창면 우록리 632-1,연락처 없음,
예쁜치아만들,0.0,0건,리뷰 0,대구 수성구 달구벌대로 2288 하이게인빌딩 5층,(지번) 수성동1가 72-2,연락처 없음,
단하나케이크만들기 부평점 제,4.0,2건,리뷰 66,인천 부평구 부평문화로 70 2층,(지번) 부평5동 201-126,연락처 없음,https://danhana.modoo.at/
한얼자동차만들기,0.0,0건,리뷰 2,대전 유성구 월드컵대로 67-11,(지번) 장대동 225-35,042-825-5656,http://hanulmotor.cafe24.com/
안경만들기,5.0,1건,리뷰 0,서울 송파구 거마로 19 흰돌빌딩 1층,(지번) 거여동 178-117,02-448-5101,http://blog.naver.com/mandulki
아름다운부엌만들기 주방가구,0.0,0건,리뷰 0,대구 북구 칠곡중앙대로99길 45-5,(지번) 관음동 1338-2,053-262-3979,
추억,5.0,3건,리뷰 0,경북 경주시 양남면 서왕길 403,(지번) 양남면 신대리 405,010-9554-5376,http://star5376.penbang.com/
추억만들기,3.7,3건,리뷰 0,충북 청주시 청원구 오창읍 중심상업2로 47-18,(지번) 오창읍 양청리 799-1,043-217-9333,
좋은학교만들기,0.0,0건,리뷰 0,대구 중구 태평로 267,(지번) 동인동3가 271-129,053-572-9405,
미인만들,0.0,0건,리뷰 0,대구 달서구 선원로53길 4-5,(지번) 용산동 580-4,연락처 없음,
내노래CD,0.0,0건,리뷰 0,대구 서구 서대구로 216,(지번) 평리동 721-4,연락처 없음,
김리아의 헤어아트남자만,0.0,0건,리뷰 0,대구 중구 달구벌대로443길 14,(지번) 삼덕동3가 344-3,053-424-7066,
카맨샵 바른차만들기김진성정비,5.0,1건,리뷰 31,부산 북구 시랑로79번길 20-10,(지번) 구포동 1223-7,051-342-3525,https://blog.naver.com/kshanam
백억,0.0,0건,리뷰 0,전북 전주시 덕진구 전주천동로 477,(지번) 금암동 760-15,연락처 없음,
반지만들기카페 ,4.6,48건,리뷰 68,서울 광진구 동일로20길 89 성신빌딩 2층,(지번) 자양동 7-13,연락처 없음,http://blog.naver.com/limik5000
행복만들,0.0,0건,리뷰 0,대구 남구 월배로 466,(지번) 대명동 1613-1,053-424-3957,
미인,0.0,0건,리뷰 0,대구 수성구 들안로2길 55,(지번) 두산동 154-9,010-2218-2000,
뉴새차만들기,5.0,2건,리뷰 6,부산 해운대구 좌동순환로 375,(지번) 중동 1520-15,010-3868-8883,http://newcar.dubuplus.com/
조앤유헤어라인남자,0.0,0건,리뷰 0,대구 달성군 다사읍 문산리 301,(지번) 중동 1520-15,연락처 없음,
The예쁜얼굴만들기성형외,4.8,72건,리뷰 42,부산 부산진구 가야대로784번길 36,(지번) 부전동 516-1,연락처 없음,http://www.prettydoc.co.kr/
토탈 미인만,0.0,0건,리뷰 0,대구 중구 중앙대로 448,(지번) 화전동 35-6,053-426-0666,
안경만들기 율하점,0.0,0건,리뷰 0,대구 동구 안심로22길 6,(지번) 율하동 1223,053-964-9009,
(주)행복마을만들기 ,0.0,0건,리뷰 0,대구 서구 북비산로74길 36,(지번) 비산동 103-3,053-565-1722,
좋은차만,0.0,0건,리뷰 0,부산 부산진구 백양대로 56-1,(지번) 당감동 236-55,연락처 없음,
공간만들,0.0,0건,리뷰 1,대구 수성구 들안로71길 15,(지번) 수성동4가 1028-10,연락처 없음,https://blog.naver.com/qjrtm407
100억,0.0,0건,리뷰 0,전북 전주시 덕진구 산정3길 38,(지번) 산정동 857-19,063-241-9560,
슬라임톡톡&폰케이스만들,0.0,0건,리뷰 7,울산 남구 삼산로228번길 17 2층,(지번) 달동 1263-1,052-922-7403,https://www.instagram.com/slime_talk_talk_pondeko/
행복,3.0,2건,리뷰 0,서울 관악구 신사로10길 6,(지번) 신림동 517-6,02-857-6457,
반지만들기카페 대학로본점,4.4,10건,리뷰 54,서울 종로구 대학로14길 18-2 동선빌딩 2층,(지번) 혜화동 195,02-744-0004,http://blog.naver.com/kyjj8706
여우,0.0,0건,리뷰 1,대구 수성구 수성로38길 47 1층,(지번) 중동 111-2,053-761-0061,
조은차만들기,5.0,1건,리뷰 0,충북 청주시 청원구 오창읍 구룡택지1로 11,(지번) 오창읍 구룡리 425-3,043-216-5509,
