공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
천호진생활목공이 DIY공,0.0,0건,리뷰 0,경남 창원시 성산구 원이대로883번길 15-24,(지번) 가음동 21-20,연락처 없음,
최강수학교습소/순천,0.0,0건,리뷰 0,전남 순천시 왕궁길 82,(지번) 조례동 1805-2,061-721-7200,
한솔,5.0,1건,리뷰 27,경남 양산시 상북면 충렬로 672,(지번) 상북면 소석리 594,010-3865-8764,https://blog.naver.com/fly2697
내디내만목공,0.0,0건,리뷰 4,경기 고양시 일산동구 동국로245번길 106,(지번) 성석동 137-2,031-976-7893,http://blog.naver.com/mydiy
몽마,0.0,0건,리뷰 1,대구 수성구 무학로 42,(지번) 상동 468-2,연락처 없음,http://www.mongma.com/
바른나무목공아카,0.0,0건,리뷰 1,대전 유성구 현충원로347번길 63-5 1층,(지번) 구암동 660-4,042-825-7950,http://cafe.daum.net/barunnamu
성진디자인목공,0.0,0건,리뷰 0,대구 남구 대명서6길 52-1,(지번) 대명동 1249-2,연락처 없음,
나무야,0.0,0건,리뷰 3,경남 창원시 마산합포구 자산서11길 93 1층,(지번) 자산동 24-9,055-242-4126,https://blog.naver.com/0namuya0
목공,0.0,0건,리뷰 0,대구 중구 봉산문화1길 32,(지번) 봉산동 172-21,연락처 없음,https://blog.naver.com/skytones/
대전세종목공,5.0,1건,리뷰 7,대전 유성구 노은동로87번길 5-9,(지번) 노은동 535-19,010-3174-0316,http://blog.naver.com/lkjpqmz
목공교실 인디,0.0,0건,리뷰 0,인천 서구 청라커낼로319번길 11,(지번) 청라동 148-3,연락처 없음,http://www.indiworks.kr/
오밀목공,0.0,0건,리뷰 0,경기 용인시 기흥구 흥덕2로65번길 20-3 1층,(지번) 영덕동 997-11,031-212-0825,http://blog.naver.com/theomil
다호디자인 우든펜,5.0,1건,리뷰 9,충북 청주시 청원구 내수읍 형동2길 92-58,(지번) 내수읍 형동리 426,043-908-4949,http://blog.naver.com/yujulia0315
수원시 목공체,0.0,0건,리뷰 1,경기 수원시 장안구 정조로 1085,(지번) 송죽동 318,031-228-4559,
목공문화공간 둥근작,0.0,0건,리뷰 3,경기 안양시 동안구 평촌대로 411 지하 1층,(지번) 비산동 1018-3,031-346-9463,http://blog.naver.com/handmadex
DIY목공,0.0,0건,리뷰 0,경기 부천시 성주로 136-1,(지번) 송내동 628-24,010-6511-9484,
제이어스수제,0.0,0건,리뷰 18,경기 부천시 경인로 556,(지번) 괴안동 170-2,010-6511-9484,https://blog.naver.com/leejus1209/
자작나무공방 진해석,5.0,1건,리뷰 1,경남 창원시 진해구 냉천로129번길 12-1 1층,(지번) 자은동 195-1,010-6511-9484,https://blog.naver.com/hundaly
제페토 목공,0.0,0건,리뷰 0,대전 유성구 현충원로 401,(지번) 구암동 429,042-823-8258,
안동목공,0.0,0건,리뷰 0,경북 안동시 서후면 명리옹기마길 4,(지번) 서후면 명리 400-2,연락처 없음,http://cafe.naver.com/andongzaengyi
네모나라목공,0.0,0건,리뷰 0,제주특별자치도 제주시 백포남길 6,(지번) 이호이동 208-1,010-3540-4620,
바오밥목공전문학원,0.0,0건,리뷰 0,경기 안성시 보개원삼로 137,(지번) 가사동 18-2,031-674-0193,http://baobobwoodwork.modoo.at/
피노키오,0.0,0건,리뷰 0,대전 서구 관저동로 64-61 오케이빌딩 1층,(지번) 관저동 1400,042-541-8009,http://blog.naver.com/dud680
목공,1.0,1건,리뷰 0,광주 남구 효우로230번길 7,(지번) 행암동 666,연락처 없음,
천호진의생활목공D,0.0,0건,리뷰 0,광주 북구 대자로 14,(지번) 운암동 780-58,연락처 없음,
듀크목,0.0,0건,리뷰 0,울산 남구 번영로 36,(지번) 야음동 644-11,052-266-9566,
DIY목공교육,0.0,0건,리뷰 0,서울 양천구 목동중앙남로3길 36,(지번) 목동 734-14,070-7372-7831,
홍반장의목공,0.0,0건,리뷰 0,전북 전주시 완산구 감나무4길 25,(지번) 서신동 233-3,063-251-5022,http://hongbanjang.alltheway.kr/
자작나무공방 마산점,0.0,0건,리뷰 1,경남 창원시 마산합포구 남성로 67,(지번) 부림동 103-4,연락처 없음,
목공과도,0.0,0건,리뷰 0,세종특별자치시 마음로 272-9,(지번) 고운동 1375,연락처 없음,
세종창의,0.0,0건,리뷰 0,세종특별자치시 마음로 272-9 강남빌딩 4층 406호,(지번) 고운동 1375,연락처 없음,https://cjsfks0320.blog.me/
비엠,0.0,0건,리뷰 0,서울 강서구 우장산로 24-6,(지번) 내발산동 671-2,070-4222-5812,
속초목공아카,0.0,0건,리뷰 1,강원 속초시 사진4길 8-1 1층,(지번) 장사동 632-53,033-631-8800,
울산목공DIY동,0.0,0건,리뷰 0,울산 남구 중앙로 165,(지번) 신정동 657-2,연락처 없음,
하얀미소공방,0.0,0건,리뷰 1,서울 중랑구 용마산로125가길 33,(지번) 신내동 450-14,010-6668-5902,
목공방우리,0.0,0건,리뷰 0,제주특별자치도 서귀포시 남원읍 태위로940번길 12-2 1층,(지번) 남원읍 태흥리 495-6,064-764-8086,
광주시목공체,0.0,0건,리뷰 0,경기 광주시 오포읍 오포로 114,(지번) 오포읍 능평리 152-11,연락처 없음,
모록밭목공,0.0,0건,리뷰 0,제주특별자치도 서귀포시 안덕면 병악로 421,(지번) 안덕면 상천리 470-2,연락처 없음,
알베로목공교실,0.0,0건,리뷰 3,경기 김포시 김포한강9로12번길 55,(지번) 구래동 6891-11,연락처 없음,
목공방진나,0.0,0건,리뷰 2,대전 서구 관저남로83번길 52,(지번) 관저동 1606-8,042-527-0607,
목공이,0.0,0건,리뷰 0,인천 미추홀구 인하로 213 지하 1층,(지번) 주안동 834-5,연락처 없음,http://incwoodkorea.itrocks.kr/
