공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
조,2.2,5건,리뷰 1,부산 해운대구 달맞이길65번길 171,(지번) 중동 1501-15,,http://www.johyungallery.com/
서,5.0,1건,리뷰 0,부산 부산진구 중앙대로 887,(지번) 양정동 402-19,051-851-2503,
퍼퓸72,4.0,1건,리뷰 8,부산 부산진구 전포대로224번길 23,(지번) 전포동 305-21,051-851-2503,
홍,5.0,4건,리뷰 2,부산 서구 보수대로 243,(지번) 동대신동3가 156-8,051-851-2503,http://www.e-hongik.com/
위아트 ,0.0,0건,리뷰 20,부산 수영구 수영로 566,(지번) 광안동 507-8,051-851-2503,http://www.wart.or.kr/
워킹하우,0.0,0건,리뷰 6,부산 수영구 좌수영로125번길 14-3,(지번) 망미동 207-22,051-759-8186,http://walkinghousenewyork.com/
,1.0,1건,리뷰 0,부산 동래구 충렬대로 249-1,(지번) 수안동 275-8,051-555-7707,http://www.sambodang.co.kr/
갤러,5.0,1건,리뷰 3,부산 해운대구 달맞이길65번길 56 CK빌딩 1층,(지번) 중동 1510-1,051-555-7707,http://www.galleryjoy.com/
나무작,0.0,0건,리뷰 0,부산 연제구 거제대로 94 대진빌딩,(지번) 거제동 721-3,051-867-1307,http://cafe.naver.com/nazak
영신화,1.0,1건,리뷰 0,부산 부산진구 중앙대로 916-1,(지번) 양정동 352-8,051-852-5008,
홍티예술촌,4.5,2건,리뷰 35,부산 사하구 홍티로 76,(지번) 다대동 1622,연락처 없음,
대림기공,0.0,0건,리뷰 0,부산 강서구 화전산단6로90번길 19,(지번) 화전동 586-8,051-971-2144,
소품공장 부산서면점,0.0,0건,리뷰 2,부산 부산진구 신천대로50번길 65 4층,(지번) 부전동 196-2,연락처 없음,https://twitter.com/SP_factory
김민정,2.5,2건,리뷰 2,부산 금정구 오륜대로 243,(지번) 오륜동 583-12,051-514-6007,
갤러,4.0,2건,리뷰 33,부산 기장군 철마면 미동길 7-20,(지번) 철마면 웅천리 36-3,051-781-5337,http://www.facebook.com/galleryyedong
도자기공방 모색,0.0,0건,리뷰 7,부산 금정구 중앙대로1660번길 6,(지번) 부곡동 255-2,051-781-5337,https://www.instagram.com/ms_ceramics/
이젤,5.0,1건,리뷰 3,부산 수영구 연수로335번길 22,(지번) 망미동 426-3,051-753-4808,
반지이야기,0.0,0건,리뷰 1,부산 부산진구 서면로68번길 46 4층,(지번) 부전동 242-5,051-807-6490,http://cafe.naver.com/ringforu
도예수공원학원 북구점,0.0,0건,리뷰 0,부산 북구 의성로 111 2층,(지번) 덕천동 412-1,010-9283-3440,https://cafe.naver.com/suwanpot
보석십자수수재샵 동래점,0.0,0건,리뷰 0,부산 동래구 시실로 213 1층,(지번) 명장동 22-4,010-8809-2717,
오캄세라믹,0.0,0건,리뷰 1,부산 서구 흑교로109번길 12,(지번) 부용동1가 17-3,010-8809-2717,http://blog.naver.com/nhh0468
우드끌로,0.0,0건,리뷰 5,부산 부산진구 전포대로223번길 20,(지번) 전포동 671-1,010-8396-1828,
소메드가죽공방,0.0,0건,리뷰 1,부산 부산진구 전포대로255번길 41 전포상가 라동 111호,(지번) 전포동 654-1,010-8250-8817,http://blog.naver.com/somadleather
동인화방,0.0,0건,리뷰 0,부산 해운대구 해운대로 543,(지번) 우동 829-9,051-743-1175,
비즈월드,0.0,0건,리뷰 5,부산 동구 진시장로 24 부산진시장 3층 316호,(지번) 범일동 635-1,051-637-3354,http://blog.naver.com/bizworldblog
클래씨,0.0,0건,리뷰 1,부산 수영구 무학로49번길 78 1층,(지번) 광안동 93-29,연락처 없음,https://blog.naver.com/classyclocca
황실유럽십자수,2.0,1건,리뷰 0,부산 부산진구 서전로 15,(지번) 부전동 142-5,051-924-0078,
,3.0,2건,리뷰 4,부산 해운대구 달맞이길117번나길 162 힐탑프라자 2층,(지번) 중동 1533-3,051-722-2201,http://www.gallerymac.kr/
오브,0.0,0건,리뷰 3,부산 수영구 좌수영로 135 PDM파트너스 1층,(지번) 망미동 206-5,051-722-2201,https://www.instagram.com/object_hood/
캔들피자,5.0,1건,리뷰 8,부산 연제구 과정로278번길 45,(지번) 연산동 346-49,연락처 없음,https://www.instagram.com/cho_pizza
케이엠엘리보석십자수,0.0,0건,리뷰 0,부산 사하구 낙동대로 366 1층,(지번) 당리동 341-44,051-202-1213,http://www.kmellie.com/
갤러,0.0,0건,리뷰 1,부산 해운대구 해운대해변로 305 6층,(지번) 중동 1394-335,051-995-2020,http://www.galleryrae.com/
갤러리네,0.0,0건,리뷰 4,부산 중구 대청로90번길 3-1,(지번) 대청동2가 22-14,051-995-2020,
,0.0,0건,리뷰 3,부산 해운대구 달맞이길65번길 154 지하 2층,(지번) 중동 1502-12,051-995-2020,
미,0.0,0건,리뷰 1,부산 수영구 광남로172번길 2,(지번) 민락동 701-3,051-758-2247,http://www.mkart.net/
그린액자,5.0,2건,리뷰 0,부산 연제구 연수로 234,(지번) 연산3동 1805-13,051-865-8712,http://www.glimtl.com/
파,0.0,0건,리뷰 2,부산 부산진구 전포대로 226-8 지하,(지번) 전포동 207-28,010-9871-1715,https://www.instagram.com/atelier_pies/
소잉팩토리 부산서면점,0.0,0건,리뷰 0,부산 부산진구 중앙대로 799-1 부라더빌딩 2층,(지번) 부전동 20-3,010-9871-1715,http://www.brothersf.co.kr/
사우공방,0.0,0건,리뷰 4,부산 중구 광복로39번길 34 2층,(지번) 신창동2가 2-12,010-9871-1715,https://sawoogongbang.modoo.at/
부산옥션골동품경,5.0,1건,리뷰 0,부산 남구 전포대로67번길 18,(지번) 문현동 769-14,연락처 없음,
반지마을 광안리점,0.0,0건,리뷰 3,부산 수영구 광남로 185-1 3층,(지번) 광안동 157-7,051-752-6708,http://xn--3e0b97uzwb5wtl1ag0f.com/
,0.0,0건,리뷰 0,부산 중구 중구로 28,(지번) 신창동4가 65-3,051-246-0808,
갤러,4.0,1건,리뷰 0,부산 금정구 범어사로 311,(지번) 청룡동 435-2,070-8782-4993,
예,0.0,0건,리뷰 0,부산 동래구 명륜로103번길 4,(지번) 명륜동 449-3,연락처 없음,
진선미 모사,0.0,0건,리뷰 2,부산 중구 대청로 78,(지번) 대청동3가 23-5,연락처 없음,
힐세라믹,0.0,0건,리뷰 12,부산 서구 꽃마을로163번길 34 예림빌라,(지번) 서대신동3가 7-57,051-244-3870,http://blog.naver.com/cksal321
오월공방,0.0,0건,리뷰 3,부산 부산진구 전포대로209번길 18-1,(지번) 전포동 677-10,연락처 없음,
동서화방,0.0,0건,리뷰 0,부산 동래구 충렬대로237번길 144,(지번) 명륜동 612-1,051-552-6073,
,"D 목미액자그림 액자,표구",0.0,0건,리뷰 0,(지번) 명륜동 612-1,051-552-6073,
이목,0.0,0건,리뷰 0,부산 동래구 충렬대로108번길 57,(지번) 온천동 1452-37,051-507-7073,
경남자수명찰,0.0,0건,리뷰 0,부산 수영구 수영성로 16,(지번) 수영동 131,051-752-5584,
김해국제공항 국내선공항,0.0,0건,리뷰 1,부산 강서구 대저2동 2798-1 국내선3층,(지번) 수영동 131,051-752-5584,
세이렌,5.0,1건,리뷰 1,부산 부산진구 서전로46번길 32 1층,(지번) 전포동 681-3,051-752-5584,https://www.instagram.com/j.seiren/
라비앙수,1.0,1건,리뷰 18,부산 수영구 수영로594번길 63 1층,(지번) 광안동 135-30,연락처 없음,
다채움문화공간,5.0,1건,리뷰 1,부산 금정구 금샘로 540,(지번) 남산동 972-1,010-9663-3113,
하이리 부산도자기공방,5.0,1건,리뷰 0,부산 동래구 온천천로471번가길 51-8 2층,(지번) 안락동 631-39,연락처 없음,
최민식,3.0,1건,리뷰 9,tv소개,(지번) 안락동 631-39,연락처 없음,
아띠세라,4.5,2건,리뷰 10,부산 남구 유엔평화로 110-10 지하1층,(지번) 대연동 760-1,051-465-0001,
수,0.0,0건,리뷰 0,부산 수영구 수영로510번길 10,(지번) 광안동 187-3,연락처 없음,
아트케이(ART,5.0,1건,리뷰 0,부산 동래구 차밭골로50번길 22,(지번) 온천동 204-22,051-715-0337,
동일화,0.0,0건,리뷰 0,부산 동래구 명륜로 155,(지번) 명륜동 633-3,연락처 없음,
스튜디오이즈,5.0,1건,리뷰 2,부산 해운대구 달맞이길65번길 33 해운대 달맞이 유림 노르웨이숲 상가 3층,(지번) 중동 1821,연락처 없음,http://ggurubee.com/
