공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
서울공방,0.0,0건,리뷰 0,서울 광진구 자양로 189,(지번) 구의동 253-12,02-444-0234,
서울공방,0.0,0건,리뷰 0,서울 서대문구 세무서1길 50,(지번) 홍제동 304-102,연락처 없음,http://blog.naver.com/suacandle
탄탄면공방 서울숲점,3.5,2건,리뷰 14,서울 성동구 왕십리로 50 성수메가박스 사옥 2층,(지번) 성수동1가 656-335,연락처 없음,http://www.tantanmyun.co.kr/
비전화공방서울,0.0,0건,리뷰 0,서울 은평구 통일로 684 서울혁신파크 21동 1층,(지번) 녹번동 7,02-6365-6837,http://noplug.kr/
참치공방 강,2.5,26건,리뷰 54,서울 강남구 강남대로78길 18 2층,(지번) 역삼동 831-27,02-6365-6837,https://www.facebook.com/Tunaworkshop.gangnam
참치공방 종,3.0,67건,리뷰 74,서울 종로구 종로9길 8,(지번) 인사동 263,02-6365-6837,
참치공방 시청,2.6,9건,리뷰 52,서울 중구 세종대로 64 해남빌딩 1층,(지번) 북창동 21,02-6365-6837,
면역공방 블,0.0,0건,리뷰 5,서울 강남구 언주로135길 15 JK빌딩 지하 1층,(지번) 논현동 83-15,02-6365-6837,http://www.dynamicplan.co.kr/base_2/company/event.php
통인동커피공방,4.2,77건,리뷰 39,서울 종로구 자하문로 41-1,(지번) 통인동 118-3,02-6365-6837,http://blog.naver.com/coffeenalda
참치공방 선,3.6,9건,리뷰 68,서울 강남구 삼성로85길 39 가리온빌딩 2층,(지번) 대치동 895-1,02-6365-6837,
마라공방 ,3.7,3건,리뷰 53,서울 강남구 봉은사로30길 68 1층,(지번) 역삼동 668-10,02-6365-6837,https://ts025386677.modoo.at/
참치공방 을지,2.3,16건,리뷰 43,서울 중구 남대문로 112 2~3층,(지번) 남대문로1가 22-10,02-738-3700,
도삭면공,4.4,20건,리뷰 49,서울 송파구 백제고분로7길 8-12,(지번) 잠실동 195-10,02-738-3700,
시간공방 종로,3.5,8건,리뷰 1,서울 종로구 우정국로2길 21 대왕빌딩 6층,(지번) 관철동 45-1,02-736-9333,http://timespace9333.modoo.at/
정육공방,3.7,3건,리뷰 24,서울 강남구 도산대로30길 24,(지번) 논현동 66-34,02-736-9333,https://www.instagram.com/jung_yook_gong_bang/?hl=ko
한우공방,3.3,4건,리뷰 57,서울 종로구 종로9길 8 1층,(지번) 인사동 263,02-736-9333,
탄탄면공방 홍대본,3.8,61건,리뷰 94,서울 마포구 잔다리로6길 25 재륜빌딩 지하1층,(지번) 서교동 369-10,02-736-9333,http://www.tantanmyun.co.kr/
카츠공방 ,3.9,9건,리뷰 77,서울 서초구 반포대로30길 53 1층,(지번) 서초동 1572-15,02-736-9333,https://www.instagram.com/katsukongbang
백미,3.3,10건,리뷰 31,서울 강남구 언주로149길 8,(지번) 논현동 62-24,02-736-9333,http://1964baekmidang.com/
고기공방,4.4,16건,리뷰 63,서울 종로구 대명1길 16-17,(지번) 명륜4가 64-5,02-736-9333,https://www.instagram.com/meat_atelier/
마,2.7,19건,리뷰 158,서울 종로구 우정국로 38-1 2층,(지번) 견지동 109,02-736-9333,
팔레,4.5,4건,리뷰 9,서울 종로구 자하문로10길 30,(지번) 통의동 6,02-730-7707,
참치,2.6,19건,리뷰 51,tv소개,(지번) 통의동 6,02-730-7707,
히노키,4.0,79건,리뷰 55,서울 마포구 신촌로14안길 3 1층,(지번) 노고산동 56-18,02-730-7707,http://blog.naver.com/hinokichef
탄탄면공방 강남,3.8,33건,리뷰 61,서울 강남구 테헤란로4길 40 신소애빌딩 1층,(지번) 역삼동 826-36,02-730-7707,http://www.tantanmyun.co.kr/
마라공방 교대,4.5,6건,리뷰 79,서울 서초구 반포대로28길 54 1층,(지번) 서초동 1557-16,02-730-7707,
치킨공방 ,3.3,3건,리뷰 22,tv소개,(지번) 서초동 1557-16,02-730-7707,
시간공방 신촌점 스터디카,3.8,4건,리뷰 1,서울 서대문구 연세로5가길 1 6층,(지번) 창천동 57-8,02-334-0705,http://timespace.modoo.at/
마라공방 잠실,1.8,4건,리뷰 66,"서울 송파구 올림픽로8길 20 잠실아이파크 1층 A109,A110호",(지번) 잠실동 194,02-334-0705,
포트링공방,0.0,0건,리뷰 63,서울 마포구 월드컵북로6길 57-6,(지번) 연남동 568-28,연락처 없음,https://www.instagram.com/pottring
마,2.4,12건,리뷰 102,"서울 종로구 종로 19 르메이에르종로타운1 1층 111-2,112-1호",(지번) 청진동 146,연락처 없음,
가죽공방 헤비츠 성수 팩토,5.0,1건,리뷰 13,서울 성동구 아차산로 15-8 1층,(지번) 성수동1가 656-1112,연락처 없음,https://hevitz.com/
수제화공방 인준,0.0,0건,리뷰 0,서울 마포구 월드컵북로 52-4 지층,(지번) 연남동 487-394,010-5759-9137,http://injune.kr/
하람공방,3.5,4건,리뷰 4,서울 성동구 연무장길 30,(지번) 성수동2가 310-55,070-4114-1446,http://9duu.modoo.at/
새우공방,4.4,7건,리뷰 75,tv소개,(지번) 성수동2가 310-55,070-4114-1446,
마라공방 홍대입구역,3.0,24건,리뷰 144,서울 마포구 양화로18길 12 2층,(지번) 동교동 164-1,070-4114-1446,
청년공방,5.0,3건,리뷰 52,서울 마포구 동교로 239 3층,(지번) 연남동 259-10,010-4622-7606,http://www.isntagram.com/aboutmod7606
마라공방 문정,4.0,4건,리뷰 57,서울 송파구 송파대로 167 문정역테라타워1 B동 지하1층 G152호,(지번) 문정동 333-7,010-4622-7606,
가죽공방헤비츠,5.0,1건,리뷰 5,서울 성북구 고려대로7길 46 1층,(지번) 안암동1가 105-5,010-4622-7606,http://www.hevitz.com/
서울여성공예센터 더아리움,3.0,6건,리뷰 14,서울 노원구 동일로174길 27,(지번) 공릉동 622,02-948-1188,http://www.seoulcraftcenter.kr/
마라공,3.0,8건,리뷰 69,서울 중구 퇴계로 18 3층,(지번) 남대문로5가 526,02-948-1188,
로얄면역공방사우나 목,3.3,9건,리뷰 0,서울 영등포구 국제금융로 78,(지번) 여의도동 43-3,02-780-5709,
섬맛의공방 파크하비,2.7,15건,리뷰 29,서울 송파구 송파대로 111 호텔파크하비오 1층,(지번) 문정동 618,02-780-5709,
마라공,1.6,5건,리뷰 65,서울 중구 세종대로21길 55,(지번) 태평로1가 76-1,02-780-5709,
마라공방 노,3.1,20건,리뷰 92,서울 동작구 노량진로16길 8 1층,(지번) 노량진동 100-2,02-780-5709,
탄탄면공방 문정역,2.7,3건,리뷰 53,서울 송파구 법원로8길 13 문정헤리움써밋타워 1층 109호,(지번) 문정동 326-1,02-780-5709,http://www.tantanmyun.co.kr/
아이홉맥주공방 호,5.0,3건,리뷰 22,서울 송파구 백제고분로 243 삼전빌딩 지하1층,(지번) 삼전동 101-4,02-780-5709,https://www.instagram.com/ihopbeer
안주공방 호,4.2,5건,리뷰 15,서울 강서구 국회대로 85-41 1층,(지번) 화곡동 911-2,02-780-5709,
서,5.0,1건,리뷰 1,서울 광진구 자양로 179,(지번) 구의동 254-86,02-780-5709,
케익공방 제,3.0,17건,리뷰 6,서울 서초구 서초대로73길 42 리가스퀘어 1411호,(지번) 서초동 1308-26,02-780-5709,http://cakegongbang.modoo.at/
떡볶이공방 논,4.4,7건,리뷰 14,서울 강남구 강남대로122길 10 1층 101-2호,(지번) 논현동 166,02-511-6632,
