공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
김수연원목공방갤,0.0,0건,리뷰 0,전북 군산시 미제3길 31-1,(지번) 미룡동 386-1,,
원목가구공방,0.0,0건,리뷰 0,대전 유성구 왕가봉로 10,(지번) 노은동 557-3,연락처 없음,
탕정원목공방,0.0,0건,리뷰 0,충남 아산시 탕정면 선문로 351,(지번) 탕정면 호산리 215-2,041-573-7557,
힘멜바움 원목가구공방,0.0,0건,리뷰 0,제주특별자치도 제주시 오등14길 8 1층,(지번) 오등동 621-3,연락처 없음,
원목가,0.0,0건,리뷰 0,경기 김포시 풍무로 206,(지번) 풍무동 24-4,070-7366-5777,
원목가구공방 ,0.0,0건,리뷰 0,부산 기장군 장안읍 좌천로 19,(지번) 장안읍 좌천리 123-4,070-7366-5777,http://cafe.daum.net/dabaksol
원목가구공방,0.0,0건,리뷰 0,강원 춘천시 후석로440번길 13,(지번) 후평동 257-29,010-5802-4420,http://tookddak.com/
우디원목가,0.0,0건,리뷰 0,전남 광양시 광양읍 서평10길 51,(지번) 광양읍 구산리 765-17,010-4354-0601,https://smartstore.naver.com/woo-d
우들리원목가구목,0.0,0건,리뷰 0,경북 청도군 이서면 대곡길 11-7,(지번) 이서면 팔조리 355-3,010-9567-1984,https://blog.naver.com/mywoodly
가람원목,0.0,0건,리뷰 0,부산 남구 신정번영로 47,(지번) 대연동 1622-22,연락처 없음,
안양원목,0.0,0건,리뷰 0,경기 화성시 남양읍 남양로 256,(지번) 남양읍 장덕리 245-1,031-357-8143,
원목액자,0.0,0건,리뷰 0,경기 동두천시 평화로2910번길 82,(지번) 상봉암동 8-4,연락처 없음,
우드앤문 느티나무 통,0.0,0건,리뷰 0,서울 동작구 국사봉길 141,(지번) 상도동 288-24,연락처 없음,
