공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
선명유리공예 유,0.0,0건,리뷰 0,대구 북구 침산남로9길 131,(지번) 침산1동 1124,053-959-6300,
친우유리공예 ,5.0,6건,리뷰 23,대전 대덕구 계족로489번길 84-11,(지번) 중리동 245-14,042-632-8956,https://blog.naver.com/chinwee
신성유리공예,5.0,2건,리뷰 0,경기 광명시 금오로 658,(지번) 옥길동 338,02-2617-3664,http://glass7.co.kr/
도계유리공예협동조,0.0,0건,리뷰 0,강원 삼척시 도계읍 도계로 31,(지번) 도계읍 흥전리 113-11,033-541-6259,
평화 유리공예 유,0.0,0건,리뷰 0,서울 송파구 중대로10길 37-21,(지번) 가락동 109-7,02-406-4420,
평화유리공,0.0,0건,리뷰 0,경기 하남시 감초로 47-31,(지번) 감북동 349,연락처 없음,
유리공예하는집,0.0,0건,리뷰 0,서울 동작구 상도로15길 39 1층,(지번) 상도동 356-211,02-816-6202,http://glasszip.co.kr/
예선유리공예전시,0.0,0건,리뷰 0,부산 연제구 반송로 53,(지번) 연산동 583-19,051-866-4222,
성화유리공예,0.0,0건,리뷰 0,울산 남구 화합로71번길 25,(지번) 야음동 23,052-265-6262,http://blog.naver.com/sunghwa62
반짝반짝유리공예공작소,0.0,0건,리뷰 0,충남 천안시 서북구 성환읍 대학로 91,(지번) 성환읍 매주리 14,연락처 없음,
서울유리공예,0.0,0건,리뷰 0,경기 하남시 서하남로41번길 11,(지번) 감북동 417-2,02-445-0270,
대성 유리공,0.0,0건,리뷰 0,경기 안양시 만안구 박달로275번길 6,(지번) 박달2동 701-12,031-441-3126,
유리공주공예공방,0.0,0건,리뷰 0,경기 오산시 경기대로 198 시네아울렛1층,(지번) 원동 300-8,031-441-3126,
금선 유리공예 ,0.0,0건,리뷰 0,경기 김포시 홍도평로138번길 18,(지번) 걸포동 582-1,031-985-6327,
유리병공예연,0.0,0건,리뷰 0,경기 평택시 평택1로 106-1,(지번) 비전동 433-20,031-654-8668,
현대베벨드유리공예 유,0.0,0건,리뷰 0,강원 강릉시 임영로 228,(지번) 교동 191-66,033-643-6314,
핫글래스유리공예공방,0.0,0건,리뷰 0,경기 부천시 부천로 376 진성빌딩 201호,(지번) 도당동 30,연락처 없음,
금강아트유리공예,0.0,0건,리뷰 0,인천 부평구 신트리로22번길 7-10,(지번) 부평동 886-3,연락처 없음,http://kc62.com/
유한유리공예,0.0,0건,리뷰 0,경기 고양시 덕양구 흥도로 100-13,(지번) 도내동 618-4,031-938-6261,
유리섬박,3.2,25건,리뷰 66,경기 안산시 단원구 부흥로 254,(지번) 대부남동 3-13,032-885-6262,http://www.glassisland.co.kr/
