공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
인천공,1.0,1건,리뷰 45,인천 서구 가정로151번길 24,(지번) 가좌동 104-9,032-581-4999,
인천제기차기공,0.0,0건,리뷰 0,인천 동구 동산로 53,(지번) 송림동 72-16,010-7900-2992,
빵사부식빵공방 인천계양점 제,0.0,0건,리뷰 16,인천 계양구 계양문화로 96 101호,(지번) 용종동 209-3,연락처 없음,http://www.sikbanggongbang.com/
,"D 빵사부식빵공방 인천신현점 제과,베이커리",0.0,0건,리뷰 10,(지번) 용종동 209-3,연락처 없음,http://xn--ob0b910amvb56g.kr/
꿈을만드는공방 인천점,0.0,0건,리뷰 0,인천 부평구 길주로585번길 8,(지번) 갈산동 394-13,연락처 없음,
반쪽이 공방 인천학익점,0.0,0건,리뷰 0,인천 미추홀구 한나루로341번길 54-37,(지번) 학익동 704-1,연락처 없음,http://www.banzzogi.net/
이태리공,4.0,23건,리뷰 85,인천 서구 청라루비로42번길 5-16 1층,(지번) 청라동 175-5,연락처 없음,https://www.instagram.com/italier2016/
토글가죽공방 인천연수점,0.0,0건,리뷰 0,인천 연수구 청능대로 210,(지번) 동춘동 926,070-4001-0420,https://blog.naver.com/toggleleathercraft
마라공방 ,3.7,7건,리뷰 58,인천 부평구 부평대로12번길 10 2층,(지번) 부평동 194-20,070-4001-0420,
탄탄면공방 부평점,3.8,8건,리뷰 49,인천 부평구 부평대로12번길 12 1층,(지번) 부평동 194-21,070-4001-0420,http://www.tantanmyun.co.kr/
연초롱도예공방 도,0.0,0건,리뷰 7,인천 부평구 화랑로47번길 7-8,(지번) 산곡동 산 44,032-501-6220,http://mhl9905.blog.me/
허들링도자기공방,0.0,0건,리뷰 2,인천 부평구 길주로585번길 8-2,(지번) 갈산동 395,연락처 없음,https://www.instagram.com/popomang/
탄탄면공방 송도현대,4.7,6건,리뷰 28,인천 연수구 송도국제대로 123 지하 1층,(지번) 송도동 168-1,032-727-2492,http://www.tantanmyun.com/
수린공방,0.0,0건,리뷰 10,인천 부평구 길주로585번길 7-6,(지번) 갈산동 393-8,연락처 없음,https://blog.naver.com/slinsoo
차미떡공,0.0,0건,리뷰 59,인천 계양구 도두리로 46 도두리마을동보아파트상가 2층 202호,(지번) 작전동 912-3,연락처 없음,http://blog.naver.com/s-ssomyi
국시공방 영,4.8,5건,리뷰 9,인천 중구 영종대로 190,(지번) 운서동 3088-7,연락처 없음,
빵공방 미회우 제,4.8,4건,리뷰 3,인천 계양구 살라리로2번길 5-2 1층,(지번) 서운동 186-2,연락처 없음,
