공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
4,0.0,0건,리뷰 1,제주특별자치도 제주시 구남로8길 38,(지번) 이도2동 2008-3,064-753-8037,
귤빛정원,4.8,4건,리뷰 2,제주특별자치도 제주시 애월읍 애월원당길 101,(지번) 애월읍 애월리 1185-2,연락처 없음,
제주스런,5.0,1건,리뷰 16,제주특별자치도 제주시 조천읍 대흘9길 37,(지번) 조천읍 대흘리 1079-22,연락처 없음,https://www.instagram.com/jejutic_jeju
,"D 나무앤 미술,공예",0.0,0건,리뷰 5,(지번) 조천읍 대흘리 1079-22,연락처 없음,https://namun.modoo.at/
바티,5.0,1건,리뷰 2,제주특별자치도 제주시 연북로 605,(지번) 이도이동 1985-5,연락처 없음,http://blog.naver.com/jejubati
아트하우스,4.7,3건,리뷰 7,제주특별자치도 제주시 한림읍 명월성로 141,(지번) 한림읍 동명리 2218,연락처 없음,
아로마제주,3.8,4건,리뷰 17,제주특별자치도 서귀포시 효돈순환로 217-3,(지번) 하효동 951-1,연락처 없음,https://yjoy98.blog.me/
ZIP트리,5.0,1건,리뷰 1,제주특별자치도 제주시 조천읍 선진길 88,(지번) 조천읍 선흘리 469-8,연락처 없음,http://cafe.daum.net/zip0807
리노바 도자공방,0.0,0건,리뷰 17,제주특별자치도 제주시 연삼로 351 지하 1층,(지번) 도남동 81-16,연락처 없음,https://blog.naver.com/dinovoa
굿이너프데이,5.0,2건,리뷰 3,제주특별자치도 서귀포시 안덕면 난드르로36번길 5,(지번) 안덕면 창천리 844-2,070-8823-8287,https://blog.naver.com/goodenday
위미캔들,0.0,0건,리뷰 7,제주특별자치도 서귀포시 남원읍 태위로 293-1 동백빌리지 1층,(지번) 남원읍 위미리 959-7,070-8823-8287,https://www.instagram.com/wimi.candle
요망진제주 월정점,4.3,3건,리뷰 4,제주특별자치도 제주시 구좌읍 월정7길 47,(지번) 구좌읍 월정리 63,010-3918-3047,https://www.instagram.com/yomangjin_jeju/
이중섭미술관 창작스튜디,0.0,0건,리뷰 2,제주특별자치도 서귀포시 이중섭로 33,(지번) 서귀동 514,064-760-3573,http://culture.seogwipo.go.kr/jslee/
공간사랑,0.0,0건,리뷰 0,제주특별자치도 제주시 연미2길 16-5,(지번) 오라삼동 2874-3,064-757-4638,
오브젝트늘,2.5,4건,리뷰 0,제주특별자치도 제주시 구좌읍 종달로7길 8-1,(지번) 구좌읍 종달리 1965,연락처 없음,https://www.instagram.com/object.neul/
아트,0.0,0건,리뷰 2,제주특별자치도 제주시 용담로 135,(지번) 용담일동 228-24,010-9208-9460,https://artgonggna.modoo.at/
제주반지만들기,5.0,1건,리뷰 19,제주특별자치도 제주시 신대로5길 4 마리나웨딩홀 1층,(지번) 연동 300-13,010-9208-9460,http://blog.naver.com/jejubanji
보메와산,5.0,2건,리뷰 2,제주특별자치도 제주시 조천읍 미래로 53,(지번) 조천읍 와산리 1194,연락처 없음,
제주스런 서귀포공방,0.0,0건,리뷰 6,제주특별자치도 서귀포시 성산읍 독자봉로24번길 75-30,(지번) 성산읍 신산리 878-2,010-2813-2799,https://www.instagram.com/jejutic_seogwipo/
