공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
핸드메,0.0,0건,리뷰 0,대구 북구 칠곡중앙대로42길 8,(지번) 태전동 491-8,연락처 없음,
핸드메이드,0.0,0건,리뷰 0,대구 달서구 야외음악당로47길 50 1층,(지번) 두류동 138-18,0507-1308-9478,http://handtabacco.modoo.at/
핸드메이드 피자&버거샵,0.0,0건,리뷰 0,대구 달서구 상화북로 59-1,(지번) 진천동 815-11,053-634-9557,
핸드메이드 가구공방 ,0.0,0건,리뷰 1,서울 마포구 망원로3길 38 1층,(지번) 망원동 432-28,053-634-9557,http://blog.naver.com/theone18
핸드메이드팩토리 제,5.0,1건,리뷰 0,경남 밀양시 시청서1길 13,(지번) 내이동 1536-6,연락처 없음,
핸드메이드참 제,0.0,0건,리뷰 3,부산 북구 만덕대로28번길 41 2층,(지번) 덕천동 431-15,연락처 없음,https://blog.naver.com/selly9090
핸드메이드,0.0,0건,리뷰 0,대구 중구 큰장로28길 42-5,(지번) 대신동 115-154,연락처 없음,
핸드메이드 식,0.0,0건,리뷰 0,대구 남구 양지로16길 13,(지번) 대명동 2148-2,연락처 없음,
쟈스민핸드메이드,0.0,0건,리뷰 2,경북 칠곡군 북삼읍 안산2길 32-2,(지번) 북삼읍 인평리 682-2,연락처 없음,http://naver.me/GWtStAxN
핸드메이드 맨즈헤,0.0,0건,리뷰 0,울산 중구 곽남7길 7,(지번) 남외동 411-11,연락처 없음,
핸드메이드폭스,0.0,0건,리뷰 0,대구 달서구 성당로 201,(지번) 성당동 54-57,010-2799-6956,
핸드메이드 주방가구,0.0,0건,리뷰 0,경기 김포시 김포대로679번길 7-19,(지번) 풍무동 326-25,031-982-4388,
핸드메이드 문,0.0,0건,리뷰 0,서울 강동구 상일로19길 33,(지번) 고덕동 188-2,연락처 없음,
핸드메이드비,0.0,0건,리뷰 0,경북 구미시 형곡로5길 6,(지번) 형곡1동 117-9,053-642-9133,
핸드메이드폭스,0.0,0건,리뷰 0,대구 중구 중앙대로 283-1,(지번) 남산동 790,연락처 없음,
핸드메이드케이스몰,0.0,0건,리뷰 0,경기 평택시 특구로5번길 61,(지번) 서정동 842-2,연락처 없음,
Lux핸드메이드부엌가구인테리어 주방가구,5.0,3건,리뷰 104,부산 금정구 중앙대로 2407,(지번) 두구동 1318-8,010-3269-7098,https://blog.naver.com/rankermoon
봉쓰핸드메이드,0.0,0건,리뷰 16,경기 수원시 팔달구 화서문로45번길 2,(지번) 장안동 283,010-2611-0125,https://www.instagram.com/bongshandmade/
수정's 핸드메이드공방,0.0,0건,리뷰 0,경북 구미시 봉곡남로5길 46,(지번) 봉곡동 185-6,연락처 없음,
핸드메이드샵꾸메푸메,0.0,0건,리뷰 0,경북 구미시 도봉로 76-55,(지번) 도량동 226,054-441-2342,
갱짱핸드메이드,0.0,0건,리뷰 0,부산 동래구 충렬대로428번길 20,(지번) 안락동 603-48,051-802-4727,
본핸드메이드,0.0,0건,리뷰 1,충북 청주시 흥덕구 서경로24번길 9,(지번) 가경동 1657,070-4922-1261,
핸드메이드,0.0,0건,리뷰 0,부산 부산진구 가야공원로 39 상가1동 210호,(지번) 가야동 588,070-4922-1261,
핸드메이드 식,0.0,0건,리뷰 0,대전 서구 갈마로125번길 12,(지번) 갈마동 1472,연락처 없음,
드림핸드메이드,0.0,0건,리뷰 0,서울 성동구 성수이로 70,(지번) 성수동2가 322-15,02-467-8197,
핸드메이드라이프,5.0,3건,리뷰 6,제주특별자치도 서귀포시 대정읍 상모로 256,(지번) 대정읍 상모리 3169-1,연락처 없음,https://www.instagram.com/handmadelife79/
쮸야네핸드메이드샵,0.0,0건,리뷰 1,경남 창원시 의창구 원이대로222번길 1,(지번) 명서동 130-9,연락처 없음,http://blog.naver.com/venus0615
꽃송핸드메이드,0.0,0건,리뷰 0,경북 안동시 서동문로 140,(지번) 목성동 59-2,연락처 없음,
핸드메이드,0.0,0건,리뷰 0,경북 포항시 남구 연일읍 철강로25번길 54,(지번) 연일읍 생지리 222-1,연락처 없음,
핸드메이드공방,0.0,0건,리뷰 0,경기 가평군 가평읍 문화로 218-23,(지번) 가평읍 읍내리 585-3,연락처 없음,
봉핸드,0.0,0건,리뷰 0,울산 동구 방어진순환도로 482,(지번) 방어동 930-8,052-252-9964,http://blog.naver.com/bongstory424
핸드메이,0.0,0건,리뷰 0,부산 부산진구 동천로 109 삼한골든게이트빌딩 9층,(지번) 부전동 112-3,010-6399-4753,http://storefarm.naver.com/hansssom
핸드메이드네,0.0,0건,리뷰 0,경기 포천시 소흘읍 송우로 76 1층,(지번) 소흘읍 송우리 726-78,010-6399-4753,http://blog.naver.com/handmade1188
